Date,Message
2026-01-27T23:15:00.000-05:00,"2026-1-27 23:15,7027,7027.75,7026.5,7027.5,7026.74,7021.74,7016.29,0.66,0.216,1,0,7"
2026-01-27T23:30:00.000-05:00,"2026-1-27 23:30,7027.5,7027.75,7026.25,7026.75,7026.88,7022.12,7016.7,0.14,0.048,1,0,3"
2026-01-27T23:45:00.000-05:00,"2026-1-27 23:45,7026.75,7027,7025.75,7026.75,7026.94,7022.48,7017.1,0.07,0.023,1,0,7"
2026-01-28T00:00:00.000-05:00,"2026-1-28 0:00,7027,7029,7027,7028.75,7027.75,7022.96,7017.55,0.8,0.29,1,0,7"
2026-01-28T00:15:00.000-05:00,"2026-1-28 0:15,7028.75,7029.75,7028.25,7028.75,7028.29,7023.41,7017.99,0.54,0.202,1,0,7"
2026-01-28T00:30:00.000-05:00,"2026-1-28 0:30,7029,7031,7028.5,7030.75,7029.43,7023.97,7018.49,1.14,0.427,1,0,7"
2026-01-28T00:45:00.000-05:00,"2026-1-28 0:45,7030.75,7032.25,7030.75,7031.75,7030.6,7024.57,7019.01,1.17,0.451,1,0,7"
2026-01-28T01:00:00.000-05:00,"2026-1-28 1:00,7031.75,7041.5,7031.75,7036.25,7033.15,7025.47,7019.69,2.56,0.825,1,0,7"
2026-01-28T01:15:00.000-05:00,"2026-1-28 1:15,7036,7038.75,7034.75,7036,7034.81,7026.28,7020.33,1.66,0.525,1,0,7"
2026-01-28T01:30:00.000-05:00,"2026-1-28 1:30,7036.25,7043,7036,7037,7036.31,7027.1,7020.98,1.49,0.435,1,0,7"
2026-01-28T01:45:00.000-05:00,"2026-1-28 1:45,7036.75,7039.25,7034.5,7034.5,7036.29,7027.67,7021.51,-0.02,0.005,-1,0,3"
2026-01-28T02:00:00.000-05:00,"2026-1-28 2:00,7034.75,7037,7033,7036.75,7037.07,7028.37,7022.11,0.78,0.218,1,0,7"
2026-01-28T02:15:00.000-05:00,"2026-1-28 2:15,7036.75,7037,7033,7034.25,7036.55,7028.82,7022.59,-0.52,0.145,-1,0,3"
2026-01-28T02:30:00.000-05:00,"2026-1-28 2:30,7034,7035.75,7030.75,7035.5,7036.58,7029.34,7023.09,0.03,0.009,1,0,7"
2026-01-28T02:45:00.000-05:00,"2026-1-28 2:45,7035.75,7037.5,7034.25,7036.75,7037.02,7029.91,7023.63,0.45,0.121,1,0,3"
2026-01-28T03:00:00.000-05:00,"2026-1-28 3:00,7036.75,7039,7032.5,7033,7035.8,7030.14,7024,-1.23,0.317,-1,0,7"
2026-01-28T03:15:00.000-05:00,"2026-1-28 3:15,7033.25,7035.5,7029,7032.5,7034.67,7030.33,7024.33,-1.13,0.279,-1,0,7"
2026-01-28T03:30:00.000-05:00,"2026-1-28 3:30,7032.25,7033.75,7031,7031,7033.24,7030.38,7024.59,-1.43,0.362,-1,0,7"
2026-01-28T03:45:00.000-05:00,"2026-1-28 3:45,7030.75,7031,7026,7027.25,7030.72,7030.14,7024.69,-2.52,0.623,-1,0,-5"
2026-01-28T04:00:00.000-05:00,"2026-1-28 4:00,7027.5,7031.75,7026.5,7029,7029.63,7030.05,7024.86,-1.09,0.266,-1,0,-3"
2026-01-28T04:15:00.000-05:00,"2026-1-28 4:15,7029.25,7030.5,7026,7028.25,7028.59,7029.91,7025,-1.04,0.251,-1,0,-3"
2026-01-28T04:30:00.000-05:00,"2026-1-28 4:30,7028.25,7031.25,7027,7030.25,7028.68,7029.94,7025.2,0.09,0.023,1,0,-5"
2026-01-28T04:45:00.000-05:00,"2026-1-28 4:45,7030.25,7033,7029.25,7031.5,7029.29,7030.06,7025.45,0.61,0.148,1,0,-3"
2026-01-28T05:00:00.000-05:00,"2026-1-28 5:00,7031.75,7033.5,7029.5,7031,7029.58,7030.13,7025.67,0.29,0.069,1,0,-5"
2026-01-28T05:15:00.000-05:00,"2026-1-28 5:15,7031,7032.5,7029.5,7031.75,7030.11,7030.25,7025.91,0.54,0.133,1,0,3"
2026-01-28T05:30:00.000-05:00,"2026-1-28 5:30,7031.75,7035.5,7031.25,7034.5,7031.61,7030.58,7026.24,1.49,0.369,1,0,3"
2026-01-28T05:45:00.000-05:00,"2026-1-28 5:45,7034.75,7036.5,7033.25,7035.5,7033.08,7030.96,7026.61,1.48,0.369,1,0,3"
2026-01-28T06:00:00.000-05:00,"2026-1-28 6:00,7035.5,7035.5,7030.25,7031,7032.36,7030.96,7026.78,-0.72,0.177,-1,0,5"
2026-01-28T06:15:00.000-05:00,"2026-1-28 6:15,7031,7033.5,7028.75,7033.25,7032.72,7031.14,7027.03,0.36,0.087,1,0,3"
2026-01-28T06:30:00.000-05:00,"2026-1-28 6:30,7033.25,7034.75,7032.75,7033,7032.87,7031.28,7027.27,0.15,0.038,1,0,5"
2026-01-28T06:45:00.000-05:00,"2026-1-28 6:45,7033,7035.25,7031.75,7033,7032.97,7031.41,7027.49,0.1,0.025,1,0,3"
2026-01-28T07:00:00.000-05:00,"2026-1-28 7:00,7033.25,7033.5,7022.25,7027.75,7030.96,7031.13,7027.5,-2.01,0.45,-1,0,5"
2026-01-28T07:15:00.000-05:00,"2026-1-28 7:15,7028,7028.5,7022.25,7025,7028.44,7030.66,7027.4,-2.52,0.548,-1,0,7"
2026-01-28T07:30:00.000-05:00,"2026-1-28 7:30,7025,7028,7023,7026.25,7027.16,7030.32,7027.36,-1.28,0.276,-1,0,7"
2026-01-28T07:45:00.000-05:00,"2026-1-28 7:45,7026.5,7028.75,7022.75,7022.75,7024.92,7029.74,7027.18,-2.24,0.474,-1,0,-3"
2026-01-28T08:00:00.000-05:00,"2026-1-28 8:00,7023,7027,7018.25,7019.5,7022.11,7028.95,7026.88,-2.81,0.561,-1,0,-5"
2026-01-28T08:15:00.000-05:00,"2026-1-28 8:15,7019.25,7024.75,7019,7020.5,7020.59,7028.3,7026.63,-1.52,0.301,-1,0,-3"
2026-01-28T08:30:00.000-05:00,"2026-1-28 8:30,7020.5,7022,7017.5,7018,7018.63,7027.51,7026.29,-1.96,0.39,-1,0,-5"
2026-01-28T08:45:00.000-05:00,"2026-1-28 8:45,7018,7022.75,7018,7022.25,7019.03,7027.1,7026.13,0.4,0.08,1,0,-3"
2026-01-28T09:00:00.000-05:00,"2026-1-28 9:00,7022.25,7023.25,7018,7019,7018.16,7026.48,7025.85,-0.87,0.173,-1,0,-5"
2026-01-28T09:15:00.000-05:00,"2026-1-28 9:15,7019,7023.5,7018.5,7022.5,7019.03,7026.17,7025.72,0.87,0.174,1,0,-3"
2026-01-28T09:30:00.000-05:00,"2026-1-28 9:30,7022.75,7029.75,7021.5,7029,7022.32,7026.39,7025.85,3.29,0.627,1,0,-5"
2026-01-28T09:45:00.000-05:00,"2026-1-28 9:45,7029,7031,7021.25,7023.75,7022.67,7026.19,7025.76,0.35,0.063,1,0,-3"
2026-01-28T10:00:00.000-05:00,"2026-1-28 10:00,7023.5,7025.75,7013.25,7013.5,7018.92,7025.21,7025.28,-3.75,0.618,-1,0,-7"
2026-01-28T10:15:00.000-05:00,"2026-1-28 10:15,7013.5,7023.25,7012.5,7017.25,7017.77,7024.6,7024.97,-1.15,0.18,-1,0,-3"
2026-01-28T10:30:00.000-05:00,"2026-1-28 10:30,7017.25,7020.25,7009.75,7010.25,7014.26,7023.5,7024.39,-3.5,0.524,-1,0,-7"
2026-01-28T10:45:00.000-05:00,"2026-1-28 10:45,7010,7012.75,7007.25,7007.5,7010.77,7022.27,7023.73,-3.49,0.528,-1,0,-7"
2026-01-28T11:00:00.000-05:00,"2026-1-28 11:00,7007.5,7015.5,7007.5,7012.25,7010.28,7021.5,7023.28,-0.49,0.073,-1,0,-3"
2026-01-28T11:15:00.000-05:00,"2026-1-28 11:15,7012,7013.75,7006.5,7013.5,7010.56,7020.88,7022.9,0.29,0.042,1,0,-7"
2026-01-28T11:30:00.000-05:00,"2026-1-28 11:30,7013.5,7013.5,7000,7000.5,7005.78,7019.31,7022.02,-4.79,0.662,-1,0,-7"
2026-01-28T11:45:00.000-05:00,"2026-1-28 11:45,7000.5,7004,6997,6999.25,7002.01,7017.77,7021.12,-3.77,0.523,-1,0,-7"
2026-01-28T12:00:00.000-05:00,"2026-1-28 12:00,6999.25,7007.5,6999,7006.5,7002.35,7016.9,7020.55,0.34,0.047,1,0,-3"
2026-01-28T12:15:00.000-05:00,"2026-1-28 12:15,7006.75,7008.75,6998.75,7000.5,7000.42,7015.64,7019.76,-1.93,0.257,-1,0,-7"
2026-01-28T12:30:00.000-05:00,"2026-1-28 12:30,7000.5,7002,6997,7000.5,6999.22,7014.48,7019.01,-1.2,0.164,-1,0,-3"
2026-01-28T12:45:00.000-05:00,"2026-1-28 12:45,7000.25,7006.5,6999,7000.5,6998.54,7013.4,7018.28,-0.68,0.093,-1,0,-7"
2026-01-28T13:00:00.000-05:00,"2026-1-28 13:00,7000.5,7004.5,6997.5,7003.75,6999.51,7012.66,7017.71,0.97,0.133,1,0,-3"
2026-01-28T13:15:00.000-05:00,"2026-1-28 13:15,7003.75,7006.5,7002.5,7003.5,7000.26,7011.95,7017.16,0.75,0.106,1,0,-7"
2026-01-28T13:30:00.000-05:00,"2026-1-28 13:30,7003.75,7005,7000.75,7002,7000.33,7011.19,7016.56,0.07,0.01,1,0,-3"
2026-01-28T13:45:00.000-05:00,"2026-1-28 13:45,7002.25,7004.5,6999.5,7002.5,7000.69,7010.52,7016.01,0.35,0.053,1,0,3"
2026-01-28T14:00:00.000-05:00,"2026-1-28 14:00,7003,7008.75,6992.25,7001,7000.44,7009.79,7015.42,-0.25,0.033,0,1,0"
2026-01-28T14:15:00.000-05:00,"2026-1-28 14:15,7001,7005.5,6993.25,6993.75,6997.49,7008.55,7014.57,-2.95,0.38,-1,0,0"
2026-01-28T14:30:00.000-05:00,"2026-1-28 14:30,6993.5,7012.75,6991.25,6999,6997.53,7007.82,7013.96,0.04,0.005,1,0,0"
2026-01-28T14:45:00.000-05:00,"2026-1-28 14:45,6999,7010.75,6997.25,7001.25,6998.55,7007.31,7013.46,1.02,0.112,1,0,3"
2026-01-28T15:00:00.000-05:00,"2026-1-28 15:00,7001.25,7014.25,6999.75,7009.75,7002.7,7007.5,7013.32,4.16,0.438,1,0,3"
2026-01-28T15:15:00.000-05:00,"2026-1-28 15:15,7009.75,7015,7006,7006.25,7004.33,7007.4,7013.04,1.63,0.173,1,0,3"
2026-01-28T15:30:00.000-05:00,"2026-1-28 15:30,7006.25,7008.5,7002.25,7003.25,7004.31,7007.09,7012.66,-0.02,0.002,-1,0,5"
2026-01-28T15:45:00.000-05:00,"2026-1-28 15:45,7003,7014,6999.25,7006.5,7005.56,7007.04,7012.41,1.25,0.13,1,0,3"
2026-01-28T16:00:00.000-05:00,"2026-1-28 16:00,7006.5,7011.25,6977.25,7010.25,7007.9,7007.29,7012.33,2.34,0.206,1,0,5"
2026-01-28T16:15:00.000-05:00,"2026-1-28 16:15,7010,7021.75,7008,7021.5,7013.97,7008.38,7012.69,6.06,0.526,1,0,5"
2026-01-28T16:30:00.000-05:00,"2026-1-28 16:30,7021.25,7023,7016.5,7018.25,7016.93,7009.14,7012.91,2.96,0.265,1,0,5"
2026-01-28T16:45:00.000-05:00,"2026-1-28 16:45,7018.5,7022,7014.25,7016.75,7018.3,7009.73,7013.06,1.38,0.126,1,0,3"
2026-01-28T18:00:00.000-05:00,"2026-1-28 18:00,7021.5,7022,6997,6997.5,7011.54,7008.78,7012.45,0,0,0,0,0"
2026-01-28T18:15:00.000-05:00,"2026-1-28 18:15,6997.25,7012.5,6997,7005.25,7009.63,7008.51,7012.17,-1.9,0.156,-1,0,0"
2026-01-28T18:30:00.000-05:00,"2026-1-28 18:30,7005.5,7006,7000,7001.25,7006.64,7007.95,7011.74,-2.99,0.255,-1,0,-3"
2026-01-28T18:45:00.000-05:00,"2026-1-28 18:45,7001.25,7007.5,6994.5,6996,7002.41,7007.03,7011.12,-4.23,0.357,-1,0,-3"
2026-01-28T19:00:00.000-05:00,"2026-1-28 19:00,6996,6998.75,6985.75,6993.75,6998.53,7006.01,7010.44,-3.88,0.326,-1,0,-3"
2026-01-28T19:15:00.000-05:00,"2026-1-28 19:15,6993.5,6999,6990.25,6999,6997.91,7005.47,7009.99,-0.63,0.054,-1,0,-5"
2026-01-28T19:30:00.000-05:00,"2026-1-28 19:30,6999.25,6999.25,6991.75,6993.5,6995.39,7004.55,7009.34,-2.52,0.221,-1,0,-5"
2026-01-28T19:45:00.000-05:00,"2026-1-28 19:45,6993.25,6999.25,6992,6999.25,6995.97,7004.14,7008.95,0.58,0.052,1,0,-3"
2026-01-28T20:00:00.000-05:00,"2026-1-28 20:00,6999.5,6999.75,6995.75,6997.75,6995.9,7003.65,7008.51,-0.07,0.006,-1,0,-5"
2026-01-28T20:15:00.000-05:00,"2026-1-28 20:15,6997.5,6998.25,6987,6992,6993.69,7002.76,7007.86,-2.21,0.208,-1,0,-5"
2026-01-28T20:30:00.000-05:00,"2026-1-28 20:30,6992,6994.5,6988.75,6991.25,6991.91,7001.87,7007.21,-1.78,0.173,-1,0,-3"
2026-01-28T20:45:00.000-05:00,"2026-1-28 20:45,6991.25,6995,6990,6994.75,6992.14,7001.32,7006.72,0.23,0.023,1,0,-7"
2026-01-28T21:00:00.000-05:00,"2026-1-28 21:00,6994.75,6998.75,6993.5,6997,6993.3,7000.99,7006.34,1.17,0.122,1,0,-3"
2026-01-28T21:15:00.000-05:00,"2026-1-28 21:15,6997,7005.75,6996.75,7005,6997.39,7001.3,7006.29,4.08,0.428,1,0,-7"
2026-01-28T21:30:00.000-05:00,"2026-1-28 21:30,7005.25,7005.75,7003,7003.75,6999.87,7001.49,7006.19,2.48,0.274,1,0,3"
2026-01-28T21:45:00.000-05:00,"2026-1-28 21:45,7003.5,7006.25,7001,7003,7001.35,7001.6,7006.06,1.49,0.169,1,0,3"
2026-01-28T22:00:00.000-05:00,"2026-1-28 22:00,7003,7006.25,7003,7006,7003.58,7001.94,7006.06,2.22,0.265,1,0,3"
2026-01-28T22:15:00.000-05:00,"2026-1-28 22:15,7006,7009,7006,7006.75,7005.42,7002.31,7006.09,1.84,0.23,1,0,5"
