Date,Message
2026-05-10T22:40:00.000-04:00,"2026-5-10 22:40,7412.5,7413.25,7411.75,7412.75,7413.01,7409.8,7409.27,0.24,0.087,0,0"
2026-05-10T22:45:00.000-04:00,"2026-5-10 22:45,7412.75,7413.25,7411,7411.75,7412.78,7409.95,7409.37,-0.23,0.083,0,0"
2026-05-10T22:50:00.000-04:00,"2026-5-10 22:50,7411.75,7413.25,7411.25,7413,7413.05,7410.18,7409.51,0.26,0.098,0,0"
2026-05-10T22:55:00.000-04:00,"2026-5-10 22:55,7413.25,7413.5,7411,7411.25,7412.57,7410.27,7409.58,-0.48,0.18,-1,-3"
2026-05-10T23:00:00.000-04:00,"2026-5-10 23:00,7411.25,7411.25,7407.5,7410.25,7411.82,7410.26,7409.61,-0.75,0.272,-1,-3"
2026-05-10T23:05:00.000-04:00,"2026-5-10 23:05,7410.25,7410.75,7408.5,7410.5,7411.34,7410.28,7409.64,-0.47,0.174,-1,-3"
2026-05-10T23:10:00.000-04:00,"2026-5-10 23:10,7410.5,7411.25,7410.25,7410.5,7410.99,7410.3,7409.67,-0.35,0.136,0,0"
2026-05-10T23:15:00.000-04:00,"2026-5-10 23:15,7410.5,7411,7409,7410.5,7410.73,7410.31,7409.71,-0.26,0.102,0,0"
2026-05-10T23:20:00.000-04:00,"2026-5-10 23:20,7410.5,7412.25,7410,7411.25,7410.82,7410.39,7409.77,0.09,0.036,0,0"
2026-05-10T23:25:00.000-04:00,"2026-5-10 23:25,7411.25,7413.25,7411,7413,7411.54,7410.59,7409.89,0.72,0.286,1,7"
2026-05-10T23:30:00.000-04:00,"2026-5-10 23:30,7413,7414.5,7412.5,7413,7412.07,7410.77,7410.02,0.53,0.213,1,7"
2026-05-10T23:35:00.000-04:00,"2026-5-10 23:35,7413,7413,7412,7413,7412.45,7410.94,7410.13,0.38,0.161,1,7"
2026-05-10T23:40:00.000-04:00,"2026-5-10 23:40,7413,7415.5,7412.75,7414.75,7413.37,7411.24,7410.31,0.92,0.383,1,7"
2026-05-10T23:45:00.000-04:00,"2026-5-10 23:45,7414.75,7414.75,7413,7413,7413.38,7411.37,7410.42,0.01,0.004,0,0"
2026-05-10T23:50:00.000-04:00,"2026-5-10 23:50,7412.75,7413.5,7412.25,7412.75,7413.27,7411.48,7410.51,-0.11,0.047,0,0"
2026-05-10T23:55:00.000-04:00,"2026-5-10 23:55,7413,7413.25,7411,7411.25,7412.62,7411.46,7410.54,-0.65,0.287,-1,-3"
2026-05-11T00:00:00.000-04:00,"2026-5-11 0:00,7411.25,7411.5,7409.5,7410.25,7411.76,7411.37,7410.53,-0.86,0.382,-1,-3"
2026-05-11T00:05:00.000-04:00,"2026-5-11 0:05,7410.5,7411,7409,7409.25,7410.76,7411.2,7410.48,-1,0.45,-1,-5"
2026-05-11T00:10:00.000-04:00,"2026-5-11 0:10,7409,7409.75,7406.75,7409.75,7410.21,7411.09,7410.45,-0.54,0.237,-1,-5"
2026-05-11T00:15:00.000-04:00,"2026-5-11 0:15,7410,7412,7410,7411.25,7410.39,7411.11,7410.48,0.17,0.076,0,0"
2026-05-11T00:20:00.000-04:00,"2026-5-11 0:20,7411.5,7412,7411.5,7411.75,7410.72,7411.15,7410.53,0.33,0.152,1,3"
2026-05-11T00:25:00.000-04:00,"2026-5-11 0:25,7411.75,7412.75,7411.5,7411.5,7410.88,7411.18,7410.57,0.16,0.078,0,0"
2026-05-11T00:30:00.000-04:00,"2026-5-11 0:30,7411.75,7412.25,7411.5,7411.75,7411.11,7411.23,7410.61,0.22,0.111,0,0"
2026-05-11T00:35:00.000-04:00,"2026-5-11 0:35,7411.75,7412.5,7411.5,7411.5,7411.19,7411.25,7410.65,0.08,0.041,0,0"
2026-05-11T00:40:00.000-04:00,"2026-5-11 0:40,7411.5,7412,7411,7411.5,7411.25,7411.27,7410.68,0.06,0.034,0,0"
2026-05-11T00:45:00.000-04:00,"2026-5-11 0:45,7411.25,7411.75,7410.75,7411,7411.12,7411.25,7410.7,-0.13,0.074,0,0"
2026-05-11T00:50:00.000-04:00,"2026-5-11 0:50,7411,7413.25,7410.75,7413,7411.76,7411.38,7410.79,0.65,0.348,1,7"
2026-05-11T00:55:00.000-04:00,"2026-5-11 0:55,7413.25,7413.25,7412.25,7412.75,7412.14,7411.49,7410.86,0.38,0.213,1,7"
2026-05-11T01:00:00.000-04:00,"2026-5-11 1:00,7413,7413.75,7412.5,7413.5,7412.7,7411.64,7410.97,0.55,0.315,1,7"
2026-05-11T01:05:00.000-04:00,"2026-5-11 1:05,7413.25,7413.5,7411.75,7412.25,7412.63,7411.69,7411.02,-0.07,0.037,0,0"
2026-05-11T01:10:00.000-04:00,"2026-5-11 1:10,7412.25,7413.25,7411.75,7412.75,7412.76,7411.77,7411.08,0.13,0.072,0,0"
2026-05-11T01:15:00.000-04:00,"2026-5-11 1:15,7412.75,7413.75,7412,7413.5,7413.12,7411.9,7411.18,0.36,0.207,1,7"
2026-05-11T01:20:00.000-04:00,"2026-5-11 1:20,7413.5,7415,7412.75,7413.75,7413.46,7412.04,7411.28,0.34,0.194,1,7"
2026-05-11T01:25:00.000-04:00,"2026-5-11 1:25,7413.75,7414,7412.75,7413.75,7413.7,7412.18,7411.38,0.24,0.137,0,0"
2026-05-11T01:30:00.000-04:00,"2026-5-11 1:30,7413.75,7414.75,7413.5,7414.5,7414.14,7412.35,7411.5,0.44,0.255,1,7"
2026-05-11T01:35:00.000-04:00,"2026-5-11 1:35,7414.75,7415,7412.25,7412.5,7413.7,7412.37,7411.54,-0.44,0.247,-1,-3"
2026-05-11T01:40:00.000-04:00,"2026-5-11 1:40,7412.75,7413,7410.5,7410.75,7412.71,7412.24,7411.51,-0.99,0.54,-1,-3"
2026-05-11T01:45:00.000-04:00,"2026-5-11 1:45,7410.75,7411.5,7410.25,7411.25,7412.16,7412.17,7411.5,-0.55,0.307,-1,-5"
2026-05-11T01:50:00.000-04:00,"2026-5-11 1:50,7411.5,7412.5,7411.25,7412,7412.04,7412.15,7411.52,-0.12,0.071,0,0"
2026-05-11T01:55:00.000-04:00,"2026-5-11 1:55,7412,7412.75,7410.5,7410.5,7411.39,7412.03,7411.48,-0.64,0.359,-1,-5"
2026-05-11T02:00:00.000-04:00,"2026-5-11 2:00,7410.5,7412,7410.5,7411.5,7411.3,7411.98,7411.48,-0.09,0.052,0,0"
2026-05-11T02:05:00.000-04:00,"2026-5-11 2:05,7411.5,7413.25,7411,7412.75,7411.71,7412.04,7411.53,0.41,0.227,1,3"
2026-05-11T02:10:00.000-04:00,"2026-5-11 2:10,7412.75,7414.75,7412.5,7413.5,7412.3,7412.16,7411.61,0.59,0.321,1,7"
2026-05-11T02:15:00.000-04:00,"2026-5-11 2:15,7413.5,7413.5,7411.5,7412.25,7412.27,7412.16,7411.63,-0.03,0.015,0,0"
2026-05-11T02:20:00.000-04:00,"2026-5-11 2:20,7412.25,7414.5,7412,7414.5,7413.09,7412.34,7411.74,0.81,0.43,1,7"
2026-05-11T02:25:00.000-04:00,"2026-5-11 2:25,7414.75,7416.25,7414.25,7415,7413.86,7412.55,7411.87,0.78,0.41,1,7"
2026-05-11T02:30:00.000-04:00,"2026-5-11 2:30,7414.75,7415.25,7411.75,7412,7413.31,7412.51,7411.88,-0.55,0.274,-1,-3"
2026-05-11T02:35:00.000-04:00,"2026-5-11 2:35,7411.75,7412.5,7411,7411.5,7412.71,7412.43,7411.86,-0.6,0.305,-1,-3"
2026-05-11T02:40:00.000-04:00,"2026-5-11 2:40,7411.5,7411.75,7410,7411.25,7412.17,7412.34,7411.84,-0.54,0.276,-1,-5"
2026-05-11T02:45:00.000-04:00,"2026-5-11 2:45,7411.25,7411.25,7409.75,7410,7411.31,7412.16,7411.77,-0.86,0.445,-1,-5"
2026-05-11T02:50:00.000-04:00,"2026-5-11 2:50,7410,7412,7409.5,7411,7411.06,7412.07,7411.74,-0.25,0.127,0,0"
2026-05-11T02:55:00.000-04:00,"2026-5-11 2:55,7411.25,7413.75,7411,7413,7411.63,7412.14,7411.78,0.57,0.282,1,3"
2026-05-11T03:00:00.000-04:00,"2026-5-11 3:00,7413,7413.75,7411.5,7412.75,7411.97,7412.19,7411.82,0.34,0.166,1,3"
2026-05-11T03:05:00.000-04:00,"2026-5-11 3:05,7412.75,7413.75,7410,7410.5,7411.39,7412.06,7411.77,-0.58,0.267,-1,-5"
2026-05-11T03:10:00.000-04:00,"2026-5-11 3:10,7410.5,7413,7410.5,7410.75,7411.07,7411.96,7411.73,-0.33,0.149,0,0"
2026-05-11T03:15:00.000-04:00,"2026-5-11 3:15,7410.75,7412,7410,7411.25,7411.03,7411.9,7411.71,-0.04,0.02,0,0"
2026-05-11T03:20:00.000-04:00,"2026-5-11 3:20,7411.25,7412.75,7410.75,7412.25,7411.38,7411.93,7411.73,0.35,0.163,1,3"
2026-05-11T03:25:00.000-04:00,"2026-5-11 3:25,7412.25,7413.25,7411.25,7412,7411.55,7411.93,7411.74,0.18,0.081,0,0"
2026-05-11T03:30:00.000-04:00,"2026-5-11 3:30,7412,7412.75,7410,7410.75,7411.22,7411.84,7411.7,-0.33,0.15,0,0"
2026-05-11T03:35:00.000-04:00,"2026-5-11 3:35,7410.5,7412.25,7410,7412.25,7411.54,7411.87,7411.73,0.32,0.146,0,0"
2026-05-11T03:40:00.000-04:00,"2026-5-11 3:40,7412.25,7415,7411.75,7412,7411.69,7411.88,7411.74,0.15,0.065,0,0"
2026-05-11T03:45:00.000-04:00,"2026-5-11 3:45,7412,7413,7411.75,7412.75,7412.08,7411.95,7411.78,0.39,0.177,1,7"
2026-05-11T03:50:00.000-04:00,"2026-5-11 3:50,7413,7413.5,7411.75,7413,7412.46,7412.03,7411.82,0.38,0.174,1,7"
2026-05-11T03:55:00.000-04:00,"2026-5-11 3:55,7413,7414.25,7412.25,7414.25,7413.19,7412.2,7411.92,0.73,0.341,1,7"
2026-05-11T04:00:00.000-04:00,"2026-5-11 4:00,7414.25,7415,7412.75,7414.75,7413.91,7412.4,7412.03,0.71,0.33,1,7"
2026-05-11T04:05:00.000-04:00,"2026-5-11 4:05,7414.75,7416.75,7410,7410.5,7412.84,7412.25,7411.97,-1.07,0.429,-1,-3"
2026-05-11T04:10:00.000-04:00,"2026-5-11 4:10,7410.25,7413.75,7410,7412.5,7412.78,7412.27,7411.99,-0.06,0.023,0,0"
2026-05-11T04:15:00.000-04:00,"2026-5-11 4:15,7412.5,7416.5,7412.5,7416,7414.03,7412.56,7412.15,1.25,0.465,1,7"
2026-05-11T04:20:00.000-04:00,"2026-5-11 4:20,7416,7417.75,7414.75,7416.5,7415.12,7412.86,7412.32,1.09,0.402,1,7"
2026-05-11T04:25:00.000-04:00,"2026-5-11 4:25,7416.5,7417.5,7412.25,7412.25,7414.32,7412.81,7412.32,-0.8,0.277,-1,-3"
2026-05-11T04:30:00.000-04:00,"2026-5-11 4:30,7412.5,7415,7412,7414,7414.35,7412.91,7412.38,0.04,0.012,0,0"
2026-05-11T04:35:00.000-04:00,"2026-5-11 4:35,7414.25,7414.75,7412.75,7413.25,7414.08,7412.93,7412.42,-0.27,0.095,0,0"
2026-05-11T04:40:00.000-04:00,"2026-5-11 4:40,7413.5,7415,7413.5,7414.5,7414.33,7413.05,7412.5,0.25,0.091,0,0"
2026-05-11T04:45:00.000-04:00,"2026-5-11 4:45,7414.5,7415.75,7414,7415.25,7414.78,7413.22,7412.61,0.45,0.167,1,7"
2026-05-11T04:50:00.000-04:00,"2026-5-11 4:50,7415.25,7416.25,7414.25,7415.25,7415.09,7413.38,7412.71,0.31,0.119,0,0"
2026-05-11T04:55:00.000-04:00,"2026-5-11 4:55,7415.5,7416.25,7414,7414,7414.84,7413.43,7412.76,-0.25,0.097,0,0"
2026-05-11T05:00:00.000-04:00,"2026-5-11 5:00,7413.75,7416,7413,7415.75,7415.28,7413.6,7412.88,0.45,0.169,1,7"
2026-05-11T05:05:00.000-04:00,"2026-5-11 5:05,7415.75,7417.75,7415,7415.75,7415.59,7413.77,7412.99,0.31,0.117,0,0"
2026-05-11T05:10:00.000-04:00,"2026-5-11 5:10,7415.75,7416,7414.25,7414.75,7415.43,7413.84,7413.06,-0.16,0.063,0,0"
2026-05-11T05:15:00.000-04:00,"2026-5-11 5:15,7414.75,7416.25,7414.25,7415.75,7415.66,7413.99,7413.16,0.23,0.092,0,0"
2026-05-11T05:20:00.000-04:00,"2026-5-11 5:20,7415.75,7418.25,7415.75,7417.5,7416.47,7414.26,7413.33,0.8,0.316,1,7"
2026-05-11T05:25:00.000-04:00,"2026-5-11 5:25,7417.5,7417.5,7416,7416.5,7416.66,7414.43,7413.46,0.2,0.08,0,0"
2026-05-11T05:30:00.000-04:00,"2026-5-11 5:30,7416.5,7418.75,7416.5,7417.5,7417.15,7414.67,7413.62,0.49,0.201,1,7"
2026-05-11T05:35:00.000-04:00,"2026-5-11 5:35,7417.75,7418,7416.75,7417.25,7417.4,7414.87,7413.76,0.24,0.102,0,0"
2026-05-11T05:40:00.000-04:00,"2026-5-11 5:40,7417.25,7419.25,7417.25,7419.25,7418.29,7415.2,7413.98,0.89,0.381,1,7"
2026-05-11T05:45:00.000-04:00,"2026-5-11 5:45,7419.25,7420.75,7418.5,7419,7418.82,7415.5,7414.17,0.53,0.228,1,7"
2026-05-11T05:50:00.000-04:00,"2026-5-11 5:50,7419,7419.75,7417.75,7418,7418.8,7415.69,7414.32,-0.02,0.008,0,0"
2026-05-11T05:55:00.000-04:00,"2026-5-11 5:55,7417.75,7418,7414.75,7415,7417.64,7415.64,7414.35,-1.16,0.489,-1,-3"
2026-05-11T06:00:00.000-04:00,"2026-5-11 6:00,7414.75,7416.75,7414.5,7414.75,7416.67,7415.57,7414.36,-0.97,0.41,-1,-3"
2026-05-11T06:05:00.000-04:00,"2026-5-11 6:05,7415,7415.75,7414,7415.5,7416.22,7415.56,7414.41,-0.45,0.192,-1,-3"
2026-05-11T06:10:00.000-04:00,"2026-5-11 6:10,7415.25,7416.75,7415,7415.75,7415.99,7415.58,7414.46,-0.24,0.104,0,0"
2026-05-11T06:15:00.000-04:00,"2026-5-11 6:15,7415.5,7415.75,7414.75,7415,7415.54,7415.53,7414.48,-0.45,0.205,-1,-3"
2026-05-11T06:20:00.000-04:00,"2026-5-11 6:20,7415,7415.75,7414.25,7415,7415.21,7415.49,7414.5,-0.32,0.151,-1,-5"
2026-05-11T06:25:00.000-04:00,"2026-5-11 6:25,7415.25,7416.5,7414.5,7415,7414.99,7415.45,7414.52,-0.23,0.107,0,0"
2026-05-11T06:30:00.000-04:00,"2026-5-11 6:30,7415,7415.25,7414.25,7414.25,7414.56,7415.36,7414.51,-0.43,0.211,-1,-5"
2026-05-11T06:35:00.000-04:00,"2026-5-11 6:35,7414.25,7414.75,7411,7412.5,7413.61,7415.14,7414.43,-0.95,0.437,-1,-5"
2026-05-11T06:40:00.000-04:00,"2026-5-11 6:40,7412.5,7413.75,7411.5,7413.75,7413.39,7415.03,7414.41,-0.21,0.097,0,0"
2026-05-11T06:45:00.000-04:00,"2026-5-11 6:45,7413.75,7413.75,7411.25,7413,7412.99,7414.88,7414.35,-0.41,0.185,-1,-5"
2026-05-11T06:50:00.000-04:00,"2026-5-11 6:50,7413,7414,7412.75,7413.25,7412.81,7414.75,7414.31,-0.18,0.083,0,0"
2026-05-11T06:55:00.000-04:00,"2026-5-11 6:55,7413.25,7413.25,7412,7412.25,7412.34,7414.56,7414.23,-0.47,0.228,-1,-5"
2026-05-11T07:00:00.000-04:00,"2026-5-11 7:00,7412.25,7415,7412,7413.75,7412.58,7414.5,7414.21,0.24,0.113,0,0"
2026-05-11T07:05:00.000-04:00,"2026-5-11 7:05,7413.75,7415.5,7413.75,7415,7413.25,7414.54,7414.24,0.67,0.317,1,3"
2026-05-11T07:10:00.000-04:00,"2026-5-11 7:10,7415,7415.75,7412.25,7414,7413.39,7414.5,7414.23,0.14,0.065,0,0"
2026-05-11T07:15:00.000-04:00,"2026-5-11 7:15,7413.75,7415.5,7413,7415.25,7413.98,7414.55,7414.27,0.58,0.262,1,3"
2026-05-11T07:20:00.000-04:00,"2026-5-11 7:20,7415.25,7417,7415.25,7416,7414.69,7414.66,7414.34,0.72,0.326,1,7"
2026-05-11T07:25:00.000-04:00,"2026-5-11 7:25,7416,7417.75,7415,7417.25,7415.68,7414.86,7414.45,0.99,0.444,1,7"
2026-05-11T07:30:00.000-04:00,"2026-5-11 7:30,7417.25,7420.25,7417.25,7419.25,7417.14,7415.2,7414.64,1.46,0.638,1,7"
2026-05-11T07:35:00.000-04:00,"2026-5-11 7:35,7419,7420.25,7418.25,7418.5,7417.92,7415.45,7414.79,0.77,0.341,1,7"
2026-05-11T07:40:00.000-04:00,"2026-5-11 7:40,7418.5,7418.5,7415,7415.25,7417.25,7415.44,7414.81,-0.67,0.283,-1,-3"
2026-05-11T07:45:00.000-04:00,"2026-5-11 7:45,7415.5,7415.5,7413.5,7414,7416.27,7415.33,7414.78,-0.98,0.422,-1,-3"
2026-05-11T07:50:00.000-04:00,"2026-5-11 7:50,7414,7414.5,7410.75,7412.25,7414.88,7415.09,7414.68,-1.39,0.571,-1,-5"
2026-05-11T07:55:00.000-04:00,"2026-5-11 7:55,7412.5,7414.25,7412,7414,7414.5,7415.01,7414.65,-0.38,0.155,-1,-5"
2026-05-11T08:00:00.000-04:00,"2026-5-11 8:00,7414,7415.75,7411.75,7412,7413.49,7414.78,7414.55,-1.01,0.399,-1,-5"
2026-05-11T08:05:00.000-04:00,"2026-5-11 8:05,7412,7412.25,7409.75,7410.75,7412.3,7414.47,7414.4,-1.19,0.471,-1,-5"
2026-05-11T08:10:00.000-04:00,"2026-5-11 8:10,7410.5,7411.25,7408.5,7410.25,7411.27,7414.14,7414.24,-1.03,0.407,-1,-7"
2026-05-11T08:15:00.000-04:00,"2026-5-11 8:15,7410.25,7412.25,7409.5,7410,7410.45,7413.82,7414.07,-0.82,0.319,-1,-7"
2026-05-11T08:20:00.000-04:00,"2026-5-11 8:20,7410,7412,7408.25,7411,7410.26,7413.61,7413.95,-0.19,0.071,0,0"
2026-05-11T08:25:00.000-04:00,"2026-5-11 8:25,7411.25,7411.75,7409.25,7411.75,7410.45,7413.46,7413.86,0.18,0.07,0,0"
2026-05-11T08:30:00.000-04:00,"2026-5-11 8:30,7411.5,7414.5,7411.25,7413.5,7411.27,7413.47,7413.85,0.82,0.308,1,3"
2026-05-11T08:35:00.000-04:00,"2026-5-11 8:35,7413.5,7414.5,7411.5,7412.25,7411.45,7413.37,7413.79,0.17,0.064,0,0"
2026-05-11T08:40:00.000-04:00,"2026-5-11 8:40,7412,7412.75,7408.75,7409,7410.39,7413.04,7413.6,-1.05,0.377,-1,-7"
2026-05-11T08:45:00.000-04:00,"2026-5-11 8:45,7408.75,7411,7402.5,7407.5,7409.09,7412.61,7413.36,-1.3,0.407,-1,-7"
