Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-08-01 12:15,S,3397.5,1,334600,5146.25,1.54,6257.5,1.87,-192.5,-0.06,5146.25,0.51,27
1,Entry long,2025-08-01 05:30,L,3346,1,334600,5146.25,1.54,6257.5,1.87,-192.5,-0.06,5146.25,0.51,27
2,Exit short,2025-08-01 14:15,exit (gate fail),3400.2,1,339750,-273.75,-0.08,528.75,0.16,-421.25,-0.12,4872.5,0.49,8
2,Entry short,2025-08-01 12:15,S,3397.5,1,339750,-273.75,-0.08,528.75,0.16,-421.25,-0.12,4872.5,0.49,8
3,Exit long,2025-08-04 11:30,exit (gate fail),3425.9,1,342140,445,0.13,1807.5,0.53,-802.5,-0.23,5317.5,0.53,16
3,Entry long,2025-08-04 07:30,L,3421.4,1,342140,445,0.13,1807.5,0.53,-802.5,-0.23,5317.5,0.53,16
4,Exit short,2025-08-04 14:00,exit (gate fail),3428.4,1,342520,-325,-0.09,87.5,0.03,-332.5,-0.10,4992.5,0.50,5
4,Entry short,2025-08-04 12:45,S,3425.2,1,342520,-325,-0.09,87.5,0.03,-332.5,-0.10,4992.5,0.50,5
5,Exit long,2025-08-04 22:45,S,3429.3,1,343310,-383.75,-0.11,277.5,0.08,-492.5,-0.14,4608.75,0.46,14
5,Entry long,2025-08-04 19:15,L,3433.1,1,343310,-383.75,-0.11,277.5,0.08,-492.5,-0.14,4608.75,0.46,14
6,Exit short,2025-08-05 04:00,exit (gate fail),3428.5,1,342930,76.25,0.02,988.75,0.29,-71.25,-0.02,4685,0.47,21
6,Entry short,2025-08-04 22:45,S,3429.3,1,342930,76.25,0.02,988.75,0.29,-71.25,-0.02,4685,0.47,21
7,Exit long,2025-08-05 13:15,S,3435.4,1,342060,1476.25,0.43,2427.5,0.71,-82.5,-0.02,6161.25,0.62,17
7,Entry long,2025-08-05 09:00,L,3420.6,1,342060,1476.25,0.43,2427.5,0.71,-82.5,-0.02,6161.25,0.62,17
8,Exit short,2025-08-05 18:00,exit (gate fail),3435.1,1,343540,26.25,0.01,308.75,0.09,-211.25,-0.06,6187.5,0.62,15
8,Entry short,2025-08-05 13:15,S,3435.4,1,343540,26.25,0.01,308.75,0.09,-211.25,-0.06,6187.5,0.62,15
9,Exit long,2025-08-05 22:00,S,3431.1,1,343630,-523.75,-0.15,417.5,0.12,-792.5,-0.23,5663.75,0.57,10
9,Entry long,2025-08-05 19:30,L,3436.3,1,343630,-523.75,-0.15,417.5,0.12,-792.5,-0.23,5663.75,0.57,10
10,Exit short,2025-08-06 02:45,exit (gate fail),3432,1,343110,-93.75,-0.03,578.75,0.17,-261.25,-0.08,5570,0.56,19
10,Entry short,2025-08-05 22:00,S,3431.1,1,343110,-93.75,-0.03,578.75,0.17,-261.25,-0.08,5570,0.56,19
11,Exit short,2025-08-06 07:45,L,3420.7,1,342070,-3.75,0.00,897.5,0.26,-132.5,-0.04,5566.25,0.56,13
11,Entry short,2025-08-06 04:30,S,3420.7,1,342070,-3.75,0.00,897.5,0.26,-132.5,-0.04,5566.25,0.56,13
12,Exit long,2025-08-06 16:00,S,3433.7,1,342070,1297.5,0.38,1738.75,0.51,-641.25,-0.19,6863.75,0.69,33
12,Entry long,2025-08-06 07:45,L,3420.7,1,342070,1297.5,0.38,1738.75,0.51,-641.25,-0.19,6863.75,0.69,33
13,Exit short,2025-08-06 18:45,exit (gate fail),3434.4,1,343370,-73.75,-0.02,398.75,0.12,-311.25,-0.09,6790,0.68,7
13,Entry short,2025-08-06 16:00,S,3433.7,1,343370,-73.75,-0.02,398.75,0.12,-311.25,-0.09,6790,0.68,7
14,Exit short,2025-08-07 00:45,L,3446.5,1,343990,-663.75,-0.19,117.5,0.03,-712.5,-0.21,6126.25,0.61,6
14,Entry short,2025-08-06 23:15,S,3439.9,1,343990,-663.75,-0.19,117.5,0.03,-712.5,-0.21,6126.25,0.61,6
15,Exit long,2025-08-07 05:00,exit (gate fail),3452,1,344650,546.25,0.16,2378.75,0.69,-801.25,-0.23,6672.5,0.67,17
15,Entry long,2025-08-07 00:45,L,3446.5,1,344650,546.25,0.16,2378.75,0.69,-801.25,-0.23,6672.5,0.67,17
16,Exit long,2025-08-07 15:15,exit (gate fail),3452.7,1,345350,-85,-0.02,457.5,0.13,-272.5,-0.08,6587.5,0.66,10
16,Entry long,2025-08-07 12:45,L,3453.5,1,345350,-85,-0.02,457.5,0.13,-272.5,-0.08,6587.5,0.66,10
17,Exit long,2025-08-07 21:30,exit (gate fail),3494.6,1,346750,2705,0.78,6657.5,1.92,-432.5,-0.12,9292.5,0.93,19
17,Entry long,2025-08-07 15:45,L,3467.5,1,346750,2705,0.78,6657.5,1.92,-432.5,-0.12,9292.5,0.93,19
18,Exit short,2025-08-08 08:30,L,3491.8,1,348850,-333.75,-0.10,1987.5,0.57,-612.5,-0.18,8958.75,0.90,16
18,Entry short,2025-08-08 04:30,S,3488.5,1,348850,-333.75,-0.10,1987.5,0.57,-612.5,-0.18,8958.75,0.90,16
19,Exit long,2025-08-08 13:00,S,3488.2,1,349180,-362.5,-0.10,1468.75,0.42,-1801.25,-0.52,8596.25,0.86,18
19,Entry long,2025-08-08 08:30,L,3491.8,1,349180,-362.5,-0.10,1468.75,0.42,-1801.25,-0.52,8596.25,0.86,18
20,Exit short,2025-08-08 13:30,L,3491.6,1,348820,-342.5,-0.10,98.75,0.03,-371.25,-0.11,8253.75,0.83,2
20,Entry short,2025-08-08 13:00,S,3488.2,1,348820,-342.5,-0.10,98.75,0.03,-371.25,-0.11,8253.75,0.83,2
21,Exit long,2025-08-08 14:15,S,3460.9,1,349160,-3072.5,-0.88,168.75,0.05,-4661.25,-1.33,5181.25,0.52,3
21,Entry long,2025-08-08 13:30,L,3491.6,1,349160,-3072.5,-0.88,168.75,0.05,-4661.25,-1.33,5181.25,0.52,3
22,Exit short,2025-08-10 18:45,exit (gate fail),3458.7,1,346090,216.25,0.06,1238.75,0.36,-541.25,-0.16,5397.5,0.54,14
22,Entry short,2025-08-08 14:15,S,3460.9,1,346090,216.25,0.06,1238.75,0.36,-541.25,-0.16,5397.5,0.54,14
23,Exit short,2025-08-11 14:15,exit (gate fail),3406.8,1,344550,3865,1.12,4817.5,1.40,-202.5,-0.06,9262.5,0.93,70
23,Entry short,2025-08-10 20:45,S,3445.5,1,344550,3865,1.12,4817.5,1.40,-202.5,-0.06,9262.5,0.93,70
24,Exit long,2025-08-11 22:15,exit (gate fail),3402.4,1,339850,385,0.11,1017.5,0.30,-162.5,-0.05,9647.5,0.96,12
24,Entry long,2025-08-11 19:15,L,3398.5,1,339850,385,0.11,1017.5,0.30,-162.5,-0.05,9647.5,0.96,12
25,Exit long,2025-08-12 04:45,exit (gate fail),3396.3,1,340310,-685,-0.20,47.5,0.01,-782.5,-0.23,8962.5,0.90,2
25,Entry long,2025-08-12 04:15,L,3403.1,1,340310,-685,-0.20,47.5,0.01,-782.5,-0.23,8962.5,0.90,2
26,Exit short,2025-08-13 02:45,L,3405.1,1,339910,-603.75,-0.18,637.5,0.19,-752.5,-0.22,8358.75,0.84,48
26,Entry short,2025-08-12 13:45,S,3399.1,1,339910,-603.75,-0.18,637.5,0.19,-752.5,-0.22,8358.75,0.84,48
27,Exit long,2025-08-13 04:30,exit (gate fail),3403.7,1,340510,-143.75,-0.04,488.75,0.14,-361.25,-0.11,8215,0.82,7
27,Entry long,2025-08-13 02:45,L,3405.1,1,340510,-143.75,-0.04,488.75,0.14,-361.25,-0.11,8215,0.82,7
28,Exit long,2025-08-13 07:30,exit (gate fail),3411,1,341520,-425,-0.12,247.5,0.07,-482.5,-0.14,7790,0.78,7
28,Entry long,2025-08-13 05:45,L,3415.2,1,341520,-425,-0.12,247.5,0.07,-482.5,-0.14,7790,0.78,7
29,Exit long,2025-08-13 11:15,exit (gate fail),3408.6,1,341550,-695,-0.20,217.5,0.06,-722.5,-0.21,7095,0.71,3
29,Entry long,2025-08-13 10:30,L,3415.5,1,341550,-695,-0.20,217.5,0.06,-722.5,-0.21,7095,0.71,3
30,Exit long,2025-08-13 23:15,S,3408.2,1,341010,-193.75,-0.06,1367.5,0.40,-312.5,-0.09,6901.25,0.69,15
30,Entry long,2025-08-13 19:30,L,3410.1,1,341010,-193.75,-0.06,1367.5,0.40,-312.5,-0.09,6901.25,0.69,15
31,Exit short,2025-08-14 01:15,exit (gate fail),3410.2,1,340820,-203.75,-0.06,448.75,0.13,-221.25,-0.06,6697.5,0.67,8
31,Entry short,2025-08-13 23:15,S,3408.2,1,340820,-203.75,-0.06,448.75,0.13,-221.25,-0.06,6697.5,0.67,8
32,Exit short,2025-08-14 05:30,exit (gate fail),3404.6,1,339400,-1065,-0.31,477.5,0.14,-1322.5,-0.39,5632.5,0.56,6
