Date,Message
2026-01-26T23:15:00.000-05:00,"2026-1-26 23:15,5064.5,5070.8,5064.5,5069.6,5072.28,5057.85,5057.71,0.73,0.047,0,0"
2026-01-26T23:30:00.000-05:00,"2026-1-26 23:30,5069.3,5070.2,5056.4,5061.2,5069.53,5058.1,5057.85,-2.75,0.177,-1,-3"
2026-01-26T23:45:00.000-05:00,"2026-1-26 23:45,5061.3,5065.6,5057.2,5062.7,5067.91,5058.46,5058.04,-1.62,0.108,0,0"
2026-01-27T00:00:00.000-05:00,"2026-1-27 0:00,5062.6,5063.7,5051.9,5058,5064.86,5058.42,5058.04,-3.05,0.206,-1,-3"
2026-01-27T00:15:00.000-05:00,"2026-1-27 0:15,5058.5,5061.9,5053,5059.4,5063.06,5058.5,5058.09,-1.8,0.125,0,0"
2026-01-27T00:30:00.000-05:00,"2026-1-27 0:30,5058.9,5069.6,5054.3,5069.2,5065.33,5059.32,5058.53,2.27,0.157,1,7"
2026-01-27T00:45:00.000-05:00,"2026-1-27 0:45,5069.7,5080.3,5069.7,5078.1,5070.25,5060.77,5059.3,4.92,0.346,1,7"
2026-01-27T01:00:00.000-05:00,"2026-1-27 1:00,5077.9,5082,5071.6,5078.5,5073.94,5062.13,5060.05,3.69,0.265,1,7"
2026-01-27T01:15:00.000-05:00,"2026-1-27 1:15,5078.3,5083.2,5074.6,5077.7,5076.24,5063.33,5060.74,2.3,0.17,1,7"
2026-01-27T01:30:00.000-05:00,"2026-1-27 1:30,5077.6,5084,5074.3,5081.5,5079.21,5064.73,5061.56,2.96,0.223,1,7"
2026-01-27T01:45:00.000-05:00,"2026-1-27 1:45,5081.1,5089.6,5077.3,5081.5,5081.23,5066.02,5062.34,2.02,0.153,1,7"
2026-01-27T02:00:00.000-05:00,"2026-1-27 2:00,5081.4,5090,5077.8,5080.9,5082.33,5067.16,5063.07,1.1,0.084,0,0"
2026-01-27T02:15:00.000-05:00,"2026-1-27 2:15,5080.5,5086.1,5077.1,5083.3,5083.86,5068.4,5063.86,1.53,0.119,0,0"
2026-01-27T02:30:00.000-05:00,"2026-1-27 2:30,5083.6,5097.3,5083.6,5089.4,5087.08,5070.02,5064.86,3.22,0.249,1,7"
2026-01-27T02:45:00.000-05:00,"2026-1-27 2:45,5088.9,5092.5,5081.3,5081.6,5086.38,5070.91,5065.52,-0.7,0.055,0,0"
2026-01-27T03:00:00.000-05:00,"2026-1-27 3:00,5081.5,5084.1,5074.8,5082.1,5085.88,5071.77,5066.17,-0.5,0.04,0,0"
2026-01-27T03:15:00.000-05:00,"2026-1-27 3:15,5082.4,5084,5071.2,5073.4,5082.14,5071.89,5066.45,-3.74,0.297,-1,-3"
2026-01-27T03:30:00.000-05:00,"2026-1-27 3:30,5073.7,5078.7,5068.5,5078.5,5081.17,5072.4,5066.92,-0.97,0.078,0,0"
2026-01-27T03:45:00.000-05:00,"2026-1-27 3:45,5078.8,5082,5073.9,5075.6,5079.32,5072.65,5067.26,-1.86,0.153,-1,-3"
2026-01-27T04:00:00.000-05:00,"2026-1-27 4:00,5075,5080.3,5074.1,5079.6,5079.39,5073.18,5067.75,0.07,0.006,0,0"
2026-01-27T04:15:00.000-05:00,"2026-1-27 4:15,5079.8,5084.5,5078.5,5084.4,5081.19,5074.05,5068.4,1.8,0.16,1,7"
2026-01-27T04:30:00.000-05:00,"2026-1-27 4:30,5084.4,5090.6,5082.1,5084.8,5082.62,5074.87,5069.04,1.43,0.129,0,0"
