Date,Message
2026-05-08T14:10:00.000-04:00,"2026-5-8 14:10,4735.2,4738.2,4734.4,4737.1,4736.35,4728.98,4728.16,1.47,0.373,1,7"
2026-05-08T14:15:00.000-04:00,"2026-5-8 14:15,4737.7,4738.6,4734.9,4735.3,4736.68,4729.46,4728.44,0.32,0.083,0,0"
2026-05-08T14:20:00.000-04:00,"2026-5-8 14:20,4734.9,4737,4734.9,4736.1,4737.12,4729.97,4728.74,0.45,0.118,0,0"
2026-05-08T14:25:00.000-04:00,"2026-5-8 14:25,4736,4736,4733.4,4735.1,4737,4730.37,4728.99,-0.13,0.034,0,0"
2026-05-08T14:30:00.000-04:00,"2026-5-8 14:30,4735,4736,4733.4,4735.1,4736.82,4730.73,4729.23,-0.17,0.047,0,0"
2026-05-08T14:35:00.000-04:00,"2026-5-8 14:35,4734.8,4735.8,4734.4,4735.7,4736.85,4731.11,4729.48,0.03,0.008,0,0"
2026-05-08T14:40:00.000-04:00,"2026-5-8 14:40,4735.4,4735.7,4733.5,4734.4,4736.33,4731.37,4729.67,-0.52,0.155,-1,-3"
2026-05-08T14:45:00.000-04:00,"2026-5-8 14:45,4734.2,4734.3,4731.5,4733.1,4735.41,4731.5,4729.81,-0.92,0.275,-1,-3"
2026-05-08T14:50:00.000-04:00,"2026-5-8 14:50,4732.9,4733.9,4731.5,4731.9,4734.25,4731.53,4729.89,-1.16,0.353,-1,-3"
2026-05-08T14:55:00.000-04:00,"2026-5-8 14:55,4731.7,4732.9,4729.3,4731.9,4733.38,4731.56,4729.97,-0.87,0.265,-1,-3"
2026-05-08T15:00:00.000-04:00,"2026-5-8 15:00,4731.5,4734.3,4730.6,4732.9,4733.1,4731.66,4730.08,-0.28,0.084,0,0"
2026-05-08T15:05:00.000-04:00,"2026-5-8 15:05,4732.9,4735.3,4731.9,4734.3,4733.41,4731.87,4730.25,0.31,0.094,0,0"
2026-05-08T15:10:00.000-04:00,"2026-5-8 15:10,4734.1,4735.2,4732.8,4733.1,4733.19,4731.96,4730.36,-0.22,0.066,0,0"
2026-05-08T15:15:00.000-04:00,"2026-5-8 15:15,4733.2,4734.1,4733.2,4733.4,4733.15,4732.07,4730.48,-0.05,0.015,0,0"
2026-05-08T15:20:00.000-04:00,"2026-5-8 15:20,4734.2,4734.7,4732.8,4734.3,4733.45,4732.24,4730.63,0.3,0.1,0,0"
2026-05-08T15:25:00.000-04:00,"2026-5-8 15:25,4733.8,4734.4,4733.1,4733.2,4733.27,4732.32,4730.73,-0.18,0.063,0,0"
2026-05-08T15:30:00.000-04:00,"2026-5-8 15:30,4733.2,4733.2,4731.4,4732.5,4732.87,4732.33,4730.8,-0.39,0.139,0,0"
2026-05-08T15:35:00.000-04:00,"2026-5-8 15:35,4732.5,4733,4731.2,4733,4732.78,4732.38,4730.89,-0.1,0.036,0,0"
2026-05-08T15:40:00.000-04:00,"2026-5-8 15:40,4733.2,4736.4,4733.2,4734.6,4733.31,4732.55,4731.03,0.53,0.19,1,7"
2026-05-08T15:45:00.000-04:00,"2026-5-8 15:45,4735.1,4735.5,4732.9,4733.9,4733.44,4732.66,4731.14,0.14,0.049,0,0"
2026-05-08T15:50:00.000-04:00,"2026-5-8 15:50,4733.6,4735,4733.2,4734.6,4733.8,4732.81,4731.28,0.36,0.133,0,0"
2026-05-08T15:55:00.000-04:00,"2026-5-8 15:55,4734.6,4734.7,4732.4,4733.4,4733.62,4732.85,4731.36,-0.18,0.067,0,0"
2026-05-08T16:00:00.000-04:00,"2026-5-8 16:00,4733.8,4733.9,4731.6,4732.6,4733.19,4732.83,4731.41,-0.43,0.162,-1,-3"
2026-05-08T16:05:00.000-04:00,"2026-5-8 16:05,4732.7,4733,4731.1,4731.4,4732.44,4732.72,4731.41,-0.76,0.291,-1,-5"
2026-05-08T16:10:00.000-04:00,"2026-5-8 16:10,4731.1,4731.4,4726.8,4728.5,4730.82,4732.4,4731.3,-1.62,0.591,-1,-5"
2026-05-08T16:15:00.000-04:00,"2026-5-8 16:15,4728.2,4728.9,4724.8,4724.9,4728.32,4731.82,4731.05,-2.5,0.881,-1,-5"
