Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit short,2000-11-29 20:00,Long,2483,1,49480,-180,-0.36,30,0.06,-180,-0.36,-180,-0.36
1,Entry short,2000-11-29 18:30,Short,2474,1,49480,-180,-0.36,30,0.06,-180,-0.36,-180,-0.36
2,Exit long,2000-11-29 22:15,Short,2475,1,49660,-160,-0.32,30,0.06,-160,-0.32,-340,-0.68
2,Entry long,2000-11-29 20:00,Long,2483,1,49660,-160,-0.32,30,0.06,-160,-0.32,-340,-0.68
3,Exit short,2000-11-30 02:15,Long,2476,1,49500,-20,-0.04,200,0.40,-80,-0.16,-360,-0.72
3,Entry short,2000-11-29 22:15,Short,2475,1,49500,-20,-0.04,200,0.40,-80,-0.16,-360,-0.72
4,Exit long,2000-11-30 04:45,Short,2476,1,49520,0,0.00,380,0.77,-180,-0.36,-360,-0.72
4,Entry long,2000-11-30 02:15,Long,2476,1,49520,0,0.00,380,0.77,-180,-0.36,-360,-0.72
5,Exit short,2000-11-30 07:00,Long,2470,1,49520,120,0.24,420,0.85,-50,-0.10,-240,-0.48
5,Entry short,2000-11-30 04:45,Short,2476,1,49520,120,0.24,420,0.85,-50,-0.10,-240,-0.48
6,Exit long,2000-11-30 11:45,Short,2482,1,49400,240,0.49,1570,3.18,-230,-0.47,0,0.00
6,Entry long,2000-11-30 07:00,Long,2470,1,49400,240,0.49,1570,3.18,-230,-0.47,0,0.00
7,Exit short,2000-11-30 14:00,Margin call,2495,1,49640,-260,-0.52,940,1.89,-260,-0.52,-260,-0.52
7,Entry short,2000-11-30 11:45,Short,2482,1,49640,-260,-0.52,940,1.89,-260,-0.52,-260,-0.52
8,Exit long,2000-12-20 01:45,Short,2410,1,48120,80,0.17,160,0.33,-180,-0.37,-180,-0.36
8,Entry long,2000-12-19 19:30,Long,2406,1,48120,80,0.17,160,0.33,-180,-0.37,-180,-0.36
9,Exit short,2000-12-20 02:30,Long,2434,1,48200,-480,-1.00,200,0.41,-500,-1.04,-660,-1.32
