Date,Message
2026-01-27T13:00:00.000-05:00,"2026-1-27 13:00,2664.6,2665.6,2660.1,2662.3,2664.16,2669.53,2672.16,-1.52,0.313,-1,-7"
2026-01-27T13:15:00.000-05:00,"2026-1-27 13:15,2662.3,2668.4,2662,2667.8,2665.13,2669.4,2671.99,0.97,0.196,1,3"
2026-01-27T13:30:00.000-05:00,"2026-1-27 13:30,2667.8,2670.2,2667.3,2669.3,2666.45,2669.39,2671.88,1.31,0.274,1,3"
2026-01-27T13:45:00.000-05:00,"2026-1-27 13:45,2669.3,2670.7,2668.3,2669.6,2667.55,2669.41,2671.79,1.11,0.239,1,3"
2026-01-27T14:00:00.000-05:00,"2026-1-27 14:00,2669.6,2672.9,2668.1,2672.5,2669.45,2669.64,2671.82,1.9,0.409,1,3"
2026-01-27T14:15:00.000-05:00,"2026-1-27 14:15,2672.3,2675.5,2672.1,2675.1,2671.8,2670.06,2671.95,2.35,0.516,1,5"
2026-01-27T14:30:00.000-05:00,"2026-1-27 14:30,2675.1,2675.5,2674.1,2674.3,2673.2,2670.39,2672.04,1.4,0.323,1,5"
2026-01-27T14:45:00.000-05:00,"2026-1-27 14:45,2674.3,2675.2,2672.7,2674.8,2674.36,2670.73,2672.15,1.16,0.277,1,5"
2026-01-27T15:00:00.000-05:00,"2026-1-27 15:00,2674.8,2679.5,2673.3,2679.2,2676.79,2671.38,2672.43,2.42,0.558,1,5"
2026-01-27T15:15:00.000-05:00,"2026-1-27 15:15,2679.3,2679.3,2676.3,2676.5,2677.49,2671.77,2672.59,0.7,0.166,1,5"
2026-01-27T15:30:00.000-05:00,"2026-1-27 15:30,2676.2,2676.6,2674.3,2676.4,2677.89,2672.13,2672.73,0.39,0.096,0,0"
2026-01-27T15:45:00.000-05:00,"2026-1-27 15:45,2676.4,2678.1,2675.1,2678,2678.68,2672.58,2672.94,0.8,0.197,1,5"
2026-01-27T16:00:00.000-05:00,"2026-1-27 16:00,2678,2678.4,2674.9,2675.4,2678.22,2672.8,2673.04,-0.46,0.116,0,0"
2026-01-27T16:15:00.000-05:00,"2026-1-27 16:15,2675.5,2678.3,2675.5,2677.8,2678.68,2673.18,2673.22,0.47,0.119,0,0"
