Date,Message
2026-01-27T13:00:00.000-05:00,"2026-1-27 13:00,2664.6,2665.6,2660.1,2662.3,2664.05,2669.53,2672.16,-1.58,0.326,-1,0,-5"
2026-01-27T13:15:00.000-05:00,"2026-1-27 13:15,2662.3,2668.4,2662,2667.8,2665.14,2669.4,2671.99,1.09,0.22,1,0,-5"
2026-01-27T13:30:00.000-05:00,"2026-1-27 13:30,2667.8,2670.2,2667.3,2669.3,2666.56,2669.39,2671.88,1.42,0.296,1,0,-5"
2026-01-27T13:45:00.000-05:00,"2026-1-27 13:45,2669.3,2670.7,2668.3,2669.6,2667.72,2669.41,2671.79,1.16,0.251,1,0,-5"
2026-01-27T14:00:00.000-05:00,"2026-1-27 14:00,2669.6,2672.9,2668.1,2672.5,2669.71,2669.64,2671.82,1.99,0.427,1,0,3"
2026-01-27T14:15:00.000-05:00,"2026-1-27 14:15,2672.3,2675.5,2672.1,2675.1,2672.14,2670.06,2671.95,2.43,0.534,1,0,3"
2026-01-27T14:30:00.000-05:00,"2026-1-27 14:30,2675.1,2675.5,2674.1,2674.3,2673.53,2670.39,2672.04,1.38,0.32,1,0,3"
2026-01-27T14:45:00.000-05:00,"2026-1-27 14:45,2674.3,2675.2,2672.7,2674.8,2674.65,2670.73,2672.15,1.13,0.268,1,0,5"
2026-01-27T15:00:00.000-05:00,"2026-1-27 15:00,2674.8,2679.5,2673.3,2679.2,2677.12,2671.38,2672.43,2.47,0.568,1,0,5"
2026-01-27T15:15:00.000-05:00,"2026-1-27 15:15,2679.3,2679.3,2676.3,2676.5,2677.73,2671.77,2672.59,0.61,0.144,1,0,3"
2026-01-27T15:30:00.000-05:00,"2026-1-27 15:30,2676.2,2676.6,2674.3,2676.4,2678.03,2672.13,2672.73,0.3,0.072,1,0,5"
2026-01-27T15:45:00.000-05:00,"2026-1-27 15:45,2676.4,2678.1,2675.1,2678,2678.78,2672.58,2672.94,0.75,0.185,1,0,3"
2026-01-27T16:00:00.000-05:00,"2026-1-27 16:00,2678,2678.4,2674.9,2675.4,2678.19,2672.8,2673.04,-0.59,0.147,-1,0,7"
2026-01-27T16:15:00.000-05:00,"2026-1-27 16:15,2675.5,2678.3,2675.5,2677.8,2678.63,2673.18,2673.22,0.44,0.112,1,0,3"
2026-01-27T16:30:00.000-05:00,"2026-1-27 16:30,2677.8,2679.8,2677.7,2679.3,2679.45,2673.65,2673.46,0.83,0.218,1,0,7"
2026-01-27T16:45:00.000-05:00,"2026-1-27 16:45,2679.3,2679.9,2678.7,2679.5,2680.04,2674.1,2673.7,0.59,0.164,1,0,3"
2026-01-27T18:00:00.000-05:00,"2026-1-27 18:00,2678.9,2679.9,2677.8,2679,2680.19,2674.48,2673.91,0,0,0,0,0"
