Date,Message
2026-05-08T12:40:00.000-04:00,"2026-5-8 12:40,2864.3,2865.2,2862.3,2862.5,2863.5,2860.58,2860.2,-0.06,0.018,0,0"
2026-05-08T12:45:00.000-04:00,"2026-5-8 12:45,2862.4,2865.4,2862,2863.7,2863.87,2860.82,2860.33,0.36,0.112,0,0"
2026-05-08T12:50:00.000-04:00,"2026-5-8 12:50,2863.8,2863.8,2861.9,2862.3,2863.58,2860.93,2860.41,-0.29,0.092,0,0"
2026-05-08T12:55:00.000-04:00,"2026-5-8 12:55,2862.4,2862.4,2860.5,2860.5,2862.66,2860.9,2860.41,-0.91,0.299,-1,-3"
2026-05-08T13:00:00.000-04:00,"2026-5-8 13:00,2860.6,2861.8,2859.8,2861.2,2862.23,2860.92,2860.44,-0.44,0.146,0,0"
2026-05-08T13:05:00.000-04:00,"2026-5-8 13:05,2861.2,2861.8,2858.7,2860.3,2861.56,2860.87,2860.44,-0.67,0.223,-1,-3"
2026-05-08T13:10:00.000-04:00,"2026-5-8 13:10,2860.4,2861.3,2859.8,2860.7,2861.21,2860.86,2860.45,-0.35,0.121,0,0"
2026-05-08T13:15:00.000-04:00,"2026-5-8 13:15,2860.8,2863,2860.6,2862.5,2861.62,2860.99,2860.53,0.41,0.144,0,0"
2026-05-08T13:20:00.000-04:00,"2026-5-8 13:20,2862.4,2865.5,2861.5,2865.4,2863,2861.33,2860.72,1.38,0.469,1,7"
2026-05-08T13:25:00.000-04:00,"2026-5-8 13:25,2865.3,2867.5,2864.7,2865.3,2863.96,2861.63,2860.9,0.96,0.33,1,7"
2026-05-08T13:30:00.000-04:00,"2026-5-8 13:30,2865.4,2866.7,2864.7,2866.1,2864.94,2861.98,2861.1,0.98,0.344,1,7"
2026-05-08T13:35:00.000-04:00,"2026-5-8 13:35,2866,2867.3,2864.2,2864.6,2865.08,2862.18,2861.24,0.14,0.047,0,0"
2026-05-08T13:40:00.000-04:00,"2026-5-8 13:40,2864.5,2865.6,2863.5,2865.6,2865.52,2862.44,2861.41,0.44,0.155,1,7"
2026-05-08T13:45:00.000-04:00,"2026-5-8 13:45,2865.6,2867.2,2865.2,2866.8,2866.25,2862.78,2861.62,0.73,0.265,1,7"
2026-05-08T13:50:00.000-04:00,"2026-5-8 13:50,2866.9,2867.7,2865.6,2867.6,2867.05,2863.15,2861.86,0.8,0.294,1,7"
