Symbol,Side,Type,Quantity,Limit price,Stop price,Fill price,Status,Commission,Placing time,Closing time,Order ID,Level ID,Leverage,Margin
CME_MINI:MNQ1!,Sell,Market,1,,,,Rejected,,2026-06-25 09:32:11,2026-06-25 09:32:11,3222668215,,1:1,
CME_MINI:MNQ1!,Sell,Market,1,,,,Rejected,,2026-06-25 09:32:07,2026-06-25 09:32:07,3222667481,,1:1,
CME_MINI:MNQ1!,Sell,Market,1,,,30080,Filled,0.01,2026-06-25 09:32:01,2026-06-25 09:32:01,3222666259,,1:1,"60,160.00 USD"
CME_MINI:MNQ1!,Sell,Market,1,,,30079.25,Filled,0.01,2026-06-25 09:32:00,2026-06-25 09:32:00,3222666007,,1:1,"60,158.50 USD"
CME_MINI:MNQ1!,Buy,Market,1,,,30082,Filled,0.01,2026-06-25 09:31:58,2026-06-25 09:31:58,3222665543,,1:1,"60,164.00 USD"
CME_MINI:MNQ1!,Buy,Market,1,,,30100.75,Filled,0.01,2026-06-25 09:31:39,2026-06-25 09:31:39,3222662118,,1:1,"60,201.50 USD"
CME_MINI:MNQ1!,Sell,Market,1,,,,Rejected,,2026-06-25 09:31:27,2026-06-25 09:31:27,3222659987,,1:1,
CME_MINI:MNQ1!,Sell,Market,1,,,,Rejected,,2026-06-25 09:31:26,2026-06-25 09:31:26,3222659828,,1:1,
CME_MINI:MNQ1!,Sell,Market,1,,,,Rejected,,2026-06-25 09:31:17,2026-06-25 09:31:17,3222658067,,1:1,
CME_MINI:MNQ1!,Sell,Market,1,,,30095.75,Filled,0.01,2026-06-25 09:31:16,2026-06-25 09:31:16,3222657862,,1:1,"60,191.50 USD"
CME_MINI:MNQ1!,Sell,Market,1,,,30118,Filled,0.01,2026-06-25 09:31:05,2026-06-25 09:31:05,3222655714,,1:1,"60,236.00 USD"
CME_MINI:MNQ1!,Sell,Limit,1,30265,,,Cancelled,,2026-06-25 09:26:32,2026-06-25 09:31:05,3222626636,,,
CME_MINI:MNQ1!,Sell,Stop,1,,30101.5,,Cancelled,,2026-06-25 09:26:24,2026-06-25 09:31:05,3222625957,,,
CME_MINI:MNQ1!,Buy,Market,1,,,30165,Filled,0.01,2026-06-25 09:26:09,2026-06-25 09:26:09,3222624565,,1:1,"60,330.00 USD"
CME_MINI:MNQ1!,Sell,Limit,1,30164,,30164.5,Filled,0.01,2026-06-25 09:26:05,2026-06-25 09:26:05,3222624215,,,
CME_MINI:MNQ1!,Buy,Market,1,,,30163.5,Filled,0.01,2026-06-25 09:25:57,2026-06-25 09:25:57,3222623389,,1:1,"60,327.00 USD"
CME_MINI:MNQ1!,Sell,Market,1,,,30145.75,Filled,0.01,2026-06-25 09:23:20,2026-06-25 09:23:20,3222611526,,1:1,"60,291.50 USD"
CME_MINI:MNQ1!,Buy,Market,1,,,30195.25,Filled,0.01,2026-06-25 09:01:50,2026-06-25 09:01:50,3222517764,,1:1,"60,390.50 USD"
CME_MINI:MNQ1!,Sell,Market,1,,,30569.5,Filled,0.01,2026-06-15 08:58:47,2026-06-15 08:58:47,3183951199,,1:1,"61,139.00 USD"
CME_MINI:MNQ1!,Sell,Limit,1,30575.75,,,Cancelled,,2026-06-15 08:56:10,2026-06-15 08:56:13,3183939916,,,
CME_MINI:MNQ1!,Sell,Stop,1,,30524.75,,Cancelled,,2026-06-15 08:56:00,2026-06-15 08:58:47,3183939180,,,
CME_MINI:MNQ1!,Buy,Market,1,,,30578,Filled,0.01,2026-06-15 08:55:46,2026-06-15 08:55:46,3183938277,,1:1,"61,156.00 USD"
CME_MINI:MNQ1!,Buy,Market,1,,,28687,Filled,0.01,2026-06-11 08:34:47,2026-06-11 08:34:47,3171448078,,1:1,"57,374.00 USD"
CME_MINI:MNQ1!,Sell,Market,1,,,28638.5,Filled,0.01,2026-06-11 08:34:32,2026-06-11 08:34:32,3171446717,,1:1,"57,277.00 USD"
CME_MINI:MNQ1!,Buy,Market,1,,,28769.5,Filled,0.01,2026-06-11 08:22:28,2026-06-11 08:22:28,3171385848,,1:1,"57,539.00 USD"
CME_MINI:MNQ1!,Buy,Stop,1,,28911.5,,Cancelled,,2026-06-11 08:21:50,2026-06-11 08:22:28,3171382974,,,
CME_MINI:MNQ1!,Sell,Market,1,,,28863.5,Filled,0.01,2026-06-11 08:21:19,2026-06-11 08:21:19,3171380689,,1:1,"57,727.00 USD"
