Date,Message
2026-02-05T08:45:00.000-05:00,"2026-2-5 8:45,4846.4,4870,4842.6,4858.2,4852.12,4887.48,4909.45,-0.79,0.024,0,1,0"
2026-02-05T09:00:00.000-05:00,"2026-2-5 9:00,4858,4872,4833.6,4836.2,4843.3,4883.53,4906.57,-8.82,0.266,-1,0,0"
2026-02-05T09:15:00.000-05:00,"2026-2-5 9:15,4836.8,4859.9,4831.2,4857,4845.62,4881.49,4904.63,2.31,0.07,1,0,0"
2026-02-05T09:30:00.000-05:00,"2026-2-5 9:30,4857.1,4887.2,4827.2,4881.6,4857.39,4881.5,4903.73,11.78,0.338,1,0,3"
2026-02-05T09:45:00.000-05:00,"2026-2-5 9:45,4881.6,4891.1,4859.6,4867.8,4860.68,4880.45,4902.32,3.28,0.095,1,0,3"
2026-02-05T10:00:00.000-05:00,"2026-2-5 10:00,4866.5,4888,4842.6,4849.8,4856.09,4878.09,4900.26,-4.58,0.13,-1,0,3"
2026-02-05T10:15:00.000-05:00,"2026-2-5 10:15,4848.9,4867.1,4834,4840.9,4849.45,4875.23,4897.93,-6.64,0.189,-1,0,-3"
2026-02-05T10:15:00.000-05:00,"SIG,2026-2-5 10:15,SHORT,4840.9,-3,0.496,-1"
2026-02-05T10:30:00.000-05:00,"2026-2-5 10:30,4839.5,4859.2,4830,4832.1,4841.43,4871.91,4895.35,-8.02,0.231,-1,0,-3"
2026-02-05T10:45:00.000-05:00,"2026-2-5 10:45,4831.8,4846.4,4820.8,4838.6,4838.52,4869.35,4893.12,-2.91,0.085,0,1,0"
2026-02-05T11:00:00.000-05:00,"2026-2-5 11:00,4837.8,4862.3,4833.5,4841.5,4837.88,4867.21,4891.1,-0.63,0.019,0,1,0"
2026-02-05T11:15:00.000-05:00,"2026-2-5 11:15,4841.6,4879.8,4839.5,4871.3,4849.47,4867.52,4890.32,11.59,0.339,1,0,0"
2026-02-05T11:30:00.000-05:00,"2026-2-5 11:30,4872.2,4905.6,4867,4901.1,4869.7,4870.1,4890.75,20.23,0.586,1,0,5"
2026-02-05T11:30:00.000-05:00,"SIG,2026-2-5 11:30,EXIT,4901.1,5,0.23,0"
2026-02-05T11:45:00.000-05:00,"2026-2-5 11:45,4901.8,4930,4887,4912,4888.44,4873.33,4891.58,18.74,0.534,1,0,3"
2026-02-05T12:00:00.000-05:00,"2026-2-5 12:00,4910.9,4913.3,4888.4,4898,4896.05,4875.22,4891.83,7.61,0.221,1,0,3"
2026-02-05T12:15:00.000-05:00,"2026-2-5 12:15,4898.8,4903.3,4881.5,4889.8,4897.83,4876.35,4891.75,1.78,0.053,1,0,5"
2026-02-05T12:30:00.000-05:00,"2026-2-5 12:30,4889.6,4901.2,4882.1,4893.1,4899.96,4877.63,4891.8,2.12,0.065,1,0,3"
2026-02-05T12:45:00.000-05:00,"2026-2-5 12:45,4893.7,4907.5,4886.4,4891.5,4900.4,4878.7,4891.79,0.44,0.014,1,0,5"
2026-02-05T13:00:00.000-05:00,"2026-2-5 13:00,4891.4,4897.9,4876.7,4882.7,4896.83,4879.01,4891.44,-3.57,0.116,-1,0,3"
2026-02-05T13:15:00.000-05:00,"2026-2-5 13:15,4882.8,4898.4,4872.8,4892.1,4897.61,4880.02,4891.46,0.78,0.026,1,0,5"
2026-02-05T13:30:00.000-05:00,"2026-2-5 13:30,4891.5,4894.8,4876.9,4893.8,4898.53,4881.08,4891.55,0.92,0.031,1,0,3"
2026-02-05T13:45:00.000-05:00,"2026-2-5 13:45,4893.6,4895.9,4874.1,4880.4,4893.6,4881.02,4891.12,-4.92,0.169,-1,0,7"
2026-02-05T14:00:00.000-05:00,"2026-2-5 14:00,4881.2,4889,4860.1,4874.4,4887.47,4880.51,4890.46,-6.13,0.211,-1,0,7"
2026-02-05T14:15:00.000-05:00,"2026-2-5 14:15,4873.7,4883,4869.6,4874.4,4882.93,4880.04,4889.83,-4.54,0.162,-1,0,3"
2026-02-05T14:30:00.000-05:00,"2026-2-5 14:30,4875.2,4878,4850.9,4861.1,4874.38,4878.59,4888.7,-8.56,0.307,-1,0,-3"
2026-02-05T14:30:00.000-05:00,"SIG,2026-2-5 14:30,SHORT,4861.1,-3,0.565,-1"
2026-02-05T14:45:00.000-05:00,"2026-2-5 14:45,4859.8,4867.2,4847,4852.5,4864.89,4876.58,4887.28,-9.49,0.347,-1,0,-3"
2026-02-05T15:00:00.000-05:00,"2026-2-5 15:00,4853,4866.2,4836,4856,4859.61,4875,4886.06,-5.27,0.192,-1,0,-3"
2026-02-05T15:15:00.000-05:00,"2026-2-5 15:15,4855.2,4858.3,4832,4847.2,4852.59,4872.86,4884.53,-7.02,0.256,-1,0,-5"
2026-02-05T15:30:00.000-05:00,"2026-2-5 15:30,4848.2,4854.4,4828.5,4835.3,4843.16,4869.97,4882.6,-9.44,0.345,-1,0,-5"
2026-02-05T15:45:00.000-05:00,"2026-2-5 15:45,4833.7,4839.4,4814.6,4833.6,4836.09,4867.17,4880.68,-7.06,0.26,-1,0,-5"
2026-02-05T16:00:00.000-05:00,"2026-2-5 16:00,4833.2,4848.5,4826.7,4831.8,4830.76,4864.45,4878.76,-5.33,0.199,-1,0,-3"
2026-02-05T16:15:00.000-05:00,"2026-2-5 16:15,4832.8,4835.4,4817.3,4824.8,4824.66,4861.4,4876.65,-6.11,0.233,-1,0,-5"
2026-02-05T16:30:00.000-05:00,"2026-2-5 16:30,4824.8,4826.1,4780.5,4785.8,4805.41,4855.59,4873.09,-19.24,0.699,-1,0,-7"
2026-02-05T16:45:00.000-05:00,"2026-2-5 16:45,4785,4802,4779.6,4798.1,4797.1,4851.16,4870.14,-8.31,0.306,-1,0,-7"
2026-02-05T18:00:00.000-05:00,"2026-2-5 18:00,4800,4815.9,4778,4786.3,4787.23,4846.17,4866.86,0,0,0,0,0"
2026-02-05T18:15:00.000-05:00,"2026-2-5 18:15,4787.4,4790.8,4766,4769.1,4774.16,4840.25,4863.02,-13.07,0.472,-1,0,0"
2026-02-05T18:30:00.000-05:00,"2026-2-5 18:30,4770,4774.7,4750.3,4759.5,4761.86,4834.03,4858.96,-12.3,0.447,-1,0,-3"
2026-02-05T18:45:00.000-05:00,"2026-2-5 18:45,4760.1,4760.3,4721.2,4722,4739.2,4825.42,4853.59,-22.66,0.8,-1,0,-5"
2026-02-05T19:00:00.000-05:00,"2026-2-5 19:00,4722,4725.2,4696,4699.6,4715.21,4815.74,4847.55,-24,0.846,-1,0,-5"
2026-02-05T19:15:00.000-05:00,"2026-2-5 19:15,4699.5,4748.1,4670,4742,4715.99,4810.07,4843.41,0.78,0.025,1,0,-3"
2026-02-05T19:30:00.000-05:00,"2026-2-5 19:30,4742,4778,4724.8,4776.3,4731.34,4807.47,4840.78,15.35,0.459,1,0,-5"
2026-02-05T19:45:00.000-05:00,"2026-2-5 19:45,4775,4781.7,4756.1,4779.9,4744.78,4805.35,4838.39,13.44,0.409,1,0,-5"
2026-02-05T20:00:00.000-05:00,"2026-2-5 20:00,4779.1,4780.8,4710,4767.5,4750.26,4802.44,4835.61,5.48,0.154,1,0,3"
2026-02-05T20:00:00.000-05:00,"SIG,2026-2-5 20:00,EXIT,4767.5,3,0.156,0"
2026-02-05T20:15:00.000-05:00,"2026-2-5 20:15,4766.2,4781.1,4720.8,4730,4739.95,4796.86,4831.47,-10.31,0.276,-1,0,3"
2026-02-05T20:30:00.000-05:00,"2026-2-5 20:30,4730.1,4765.8,4723.6,4758.8,4744.43,4793.94,4828.62,4.49,0.119,1,0,3"
2026-02-05T20:45:00.000-05:00,"2026-2-5 20:45,4760.5,4803.4,4755.2,4792.1,4761.26,4793.8,4827.19,16.83,0.438,1,0,3"
2026-02-05T21:00:00.000-05:00,"2026-2-5 21:00,4792.7,4813.8,4777.8,4804.3,4778.41,4794.6,4826.29,17.15,0.448,1,0,5"
2026-02-05T21:15:00.000-05:00,"2026-2-5 21:15,4805.1,4838.8,4798.9,4837.6,4803.84,4797.91,4826.74,25.44,0.663,1,0,5"
2026-02-05T21:30:00.000-05:00,"2026-2-5 21:30,4836.7,4863.5,4826.1,4844,4824.32,4801.46,4827.41,20.48,0.534,1,0,5"
2026-02-05T21:45:00.000-05:00,"2026-2-5 21:45,4844.7,4849.9,4826.3,4833.5,4834.31,4803.92,4827.65,9.99,0.268,1,0,5"
2026-02-05T22:00:00.000-05:00,"2026-2-5 22:00,4832.5,4856.4,4825.6,4831,4839.79,4806,4827.78,5.48,0.149,1,0,3"
2026-02-05T22:15:00.000-05:00,"2026-2-5 22:15,4831.9,4844.5,4816.7,4829,4842.2,4807.77,4827.83,2.4,0.066,1,0,7"
2026-02-05T22:30:00.000-05:00,"2026-2-5 22:30,4829.3,4842.8,4817.4,4821.6,4840.28,4808.84,4827.59,-1.92,0.054,-1,0,3"
2026-02-05T22:45:00.000-05:00,"2026-2-5 22:45,4822.9,4846,4822.9,4841.1,4845.93,4811.32,4828.12,5.65,0.163,1,0,7"
2026-02-05T23:00:00.000-05:00,"2026-2-5 23:00,4842,4845.6,4832.1,4836.8,4847.65,4813.28,4828.46,1.72,0.052,1,0,3"
2026-02-05T23:15:00.000-05:00,"2026-2-5 23:15,4837.2,4844.7,4823.9,4843.3,4850.82,4815.59,4829.04,3.17,0.098,1,0,7"
2026-02-05T23:30:00.000-05:00,"2026-2-5 23:30,4843.5,4848.9,4836.6,4840.5,4851.4,4817.5,4829.49,0.57,0.019,1,0,3"
2026-02-05T23:45:00.000-05:00,"2026-2-5 23:45,4840.1,4842.4,4828.1,4830.8,4847.42,4818.53,4829.54,-3.98,0.134,-1,0,7"
2026-02-06T00:00:00.000-05:00,"2026-2-6 0:00,4830.4,4843.4,4824.5,4841.1,4848.14,4820.26,4829.99,0.72,0.025,1,0,3"
2026-02-06T00:15:00.000-05:00,"2026-2-6 0:15,4842.8,4870,4836.9,4868.9,4859.19,4824,4831.52,11.05,0.379,1,0,7"
2026-02-06T00:30:00.000-05:00,"2026-2-6 0:30,4868.8,4889,4853.7,4882.4,4871.97,4828.5,4833.51,12.78,0.432,1,0,7"
2026-02-06T00:45:00.000-05:00,"2026-2-6 0:45,4882.3,4916.2,4879.3,4915.3,4893.52,4835.17,4836.72,21.55,0.716,1,0,7"
2026-02-06T01:00:00.000-05:00,"2026-2-6 1:00,4916.3,4921.6,4882.9,4883.6,4895.73,4838.9,4838.56,2.21,0.072,1,0,3"
2026-02-06T01:15:00.000-05:00,"2026-2-6 1:15,4884.3,4891.3,4867.7,4873.9,4892.69,4841.59,4839.95,-3.04,0.101,-1,0,7"
2026-02-06T01:30:00.000-05:00,"2026-2-6 1:30,4871.9,4885.9,4855.5,4865.6,4886.52,4843.44,4840.95,-6.17,0.204,-1,0,7"
2026-02-06T01:45:00.000-05:00,"2026-2-6 1:45,4865,4875.2,4841,4865.6,4881.52,4845.14,4841.92,-5,0.164,-1,0,3"
2026-02-06T02:00:00.000-05:00,"2026-2-6 2:00,4865,4874.1,4856.8,4868.7,4878.72,4846.95,4842.97,-2.81,0.095,-1,0,-3"
2026-02-06T02:00:00.000-05:00,"SIG,2026-2-6 2:00,SHORT,4868.7,-3,0.326,-1"
2026-02-06T02:15:00.000-05:00,"2026-2-6 2:15,4869.1,4881.9,4862,4878.4,4880.18,4849.37,4844.36,1.46,0.051,0,1,0"
2026-02-06T02:30:00.000-05:00,"2026-2-6 2:30,4878.2,4880.6,4867.4,4877.9,4880.72,4851.57,4845.67,0.54,0.02,0,1,0"
2026-02-06T02:45:00.000-05:00,"2026-2-6 2:45,4876.9,4877.5,4861.2,4862.3,4874.68,4852.39,4846.33,-6.04,0.224,-1,0,0"
2026-02-06T03:00:00.000-05:00,"2026-2-6 3:00,4861.6,4874.9,4849.5,4872.2,4874.05,4853.92,4847.34,-0.63,0.024,-1,0,-3"
2026-02-06T03:15:00.000-05:00,"2026-2-6 3:15,4873.7,4896.6,4869.5,4890,4880.47,4856.69,4849.01,6.42,0.239,1,0,-3"
2026-02-06T03:30:00.000-05:00,"2026-2-6 3:30,4888.7,4904.5,4877.1,4883.1,4882.19,4858.72,4850.35,1.72,0.064,1,0,3"
2026-02-06T03:30:00.000-05:00,"SIG,2026-2-6 3:30,EXIT,4883.1,3,0.276,0"
2026-02-06T03:45:00.000-05:00,"2026-2-6 3:45,4883.1,4887.1,4875,4884.8,4883.91,4860.73,4851.7,1.72,0.066,1,0,3"
2026-02-06T04:00:00.000-05:00,"2026-2-6 4:00,4884.1,4894.4,4862.4,4863,4876.36,4860.9,4852.14,-7.55,0.287,-1,0,3"
2026-02-06T04:15:00.000-05:00,"2026-2-6 4:15,4862.4,4891.2,4862.2,4887.4,4880.45,4862.94,4853.53,4.09,0.155,1,0,3"
2026-02-06T04:30:00.000-05:00,"2026-2-6 4:30,4887.3,4896.5,4880.2,4880.2,4880.46,4864.27,4854.57,0.01,0,1,0,5"
2026-02-06T04:45:00.000-05:00,"2026-2-6 4:45,4881.3,4893.4,4878.4,4889.5,4884.04,4866.21,4855.94,3.58,0.143,1,0,3"
2026-02-06T05:00:00.000-05:00,"2026-2-6 5:00,4888,4900,4887.8,4894.4,4888.43,4868.38,4857.45,4.39,0.182,1,0,5"
2026-02-06T05:15:00.000-05:00,"2026-2-6 5:15,4894.3,4898.6,4872.6,4876.6,4884.42,4869.01,4858.2,-4.01,0.166,-1,0,3"
2026-02-06T05:30:00.000-05:00,"2026-2-6 5:30,4876,4899.9,4874.7,4897.1,4889.51,4871.17,4859.73,5.09,0.21,1,0,5"
2026-02-06T05:45:00.000-05:00,"2026-2-6 5:45,4897.2,4901.7,4888.7,4899.9,4894.15,4873.38,4861.3,4.64,0.197,1,0,3"
2026-02-06T06:00:00.000-05:00,"2026-2-6 6:00,4899.7,4910,4885.6,4906,4899.72,4875.89,4863.06,5.57,0.236,1,0,7"
2026-02-06T06:15:00.000-05:00,"2026-2-6 6:15,4906.9,4916.3,4900.2,4912.2,4905.94,4878.68,4864.98,6.22,0.27,1,0,7"
2026-02-06T06:30:00.000-05:00,"2026-2-6 6:30,4912.6,4915.6,4900.2,4908.5,4908.68,4880.98,4866.69,2.74,0.122,1,0,3"
2026-02-06T06:45:00.000-05:00,"2026-2-6 6:45,4909.3,4918.7,4904.5,4909.1,4910.6,4883.14,4868.35,1.92,0.088,1,0,7"
2026-02-06T07:00:00.000-05:00,"2026-2-6 7:00,4910.1,4925.7,4905.1,4917.7,4915.08,4885.8,4870.29,4.48,0.206,1,0,7"
2026-02-06T07:15:00.000-05:00,"2026-2-6 7:15,4918.2,4918.5,4892,4898.6,4910.47,4886.78,4871.4,-4.61,0.208,-1,0,7"
2026-02-06T07:30:00.000-05:00,"2026-2-6 7:30,4899.5,4916.9,4898.4,4915.8,4913.69,4889.02,4873.14,3.22,0.147,1,0,3"
2026-02-06T07:45:00.000-05:00,"2026-2-6 7:45,4915.2,4926,4915.2,4921.7,4918.1,4891.53,4875.04,4.41,0.209,1,0,7"
2026-02-06T08:00:00.000-05:00,"2026-2-6 8:00,4922,4948.8,4918.2,4931.7,4924.96,4894.62,4877.27,6.86,0.315,1,0,7"
2026-02-06T08:15:00.000-05:00,"2026-2-6 8:15,4932,4951.3,4927.1,4931.2,4929.38,4897.43,4879.38,4.42,0.202,1,0,7"
