Date,Message
2026-05-07T03:40:00.000-04:00,"2026-5-7 3:40,28792.25,28798.75,28786.75,28791.25,28795.62,28748.25,28728.2,3.94,0.213,1,3"
2026-05-07T03:45:00.000-04:00,"2026-5-7 3:45,28792.75,28792.75,28767.5,28773.75,28791.5,28750.21,28729.99,-4.12,0.217,-1,-3"
2026-05-07T03:50:00.000-04:00,"2026-5-7 3:50,28773.25,28783.5,28766,28768.25,28785.96,28751.6,28731.49,-5.54,0.294,-1,-3"
2026-05-07T03:55:00.000-04:00,"2026-5-7 3:55,28770.5,28785.5,28770.5,28777.5,28784.93,28753.59,28733.29,-1.03,0.055,0,0"
2026-05-07T04:00:00.000-04:00,"2026-5-7 4:00,28779.5,28813.75,28779,28813,28797.01,28758.16,28736.42,12.08,0.604,1,5"
2026-05-07T04:05:00.000-04:00,"2026-5-7 4:05,28811.5,28814.5,28782.5,28792,28797.77,28760.76,28738.6,0.76,0.036,0,0"
2026-05-07T04:10:00.000-04:00,"2026-5-7 4:10,28791.5,28791.75,28762.25,28769,28789.44,28761.4,28739.79,-8.33,0.388,-1,-3"
2026-05-07T04:15:00.000-04:00,"2026-5-7 4:15,28769,28771.25,28736.25,28751.75,28776.64,28760.66,28740.26,-12.8,0.57,-1,-5"
2026-05-07T04:20:00.000-04:00,"2026-5-7 4:20,28750.75,28766.5,28749.25,28763.5,28771.44,28760.87,28741.17,-5.19,0.235,-1,-3"
2026-05-07T04:25:00.000-04:00,"2026-5-7 4:25,28763,28763.5,28733.75,28746.5,28761.31,28759.77,28741.38,-10.14,0.448,-1,-3"
2026-05-07T04:30:00.000-04:00,"2026-5-7 4:30,28747.25,28760.75,28744.5,28746,28753.75,28758.71,28741.56,-7.56,0.341,-1,-3"
2026-05-07T04:35:00.000-04:00,"2026-5-7 4:35,28746.75,28764,28744.5,28758.75,28753.08,28758.71,28742.23,-0.66,0.03,0,0"
2026-05-07T04:40:00.000-04:00,"2026-5-7 4:40,28759.25,28760.25,28741.25,28742,28746.6,28757.43,28742.22,-6.49,0.298,-1,-3"
2026-05-07T04:45:00.000-04:00,"2026-5-7 4:45,28741.5,28746,28729,28734.5,28739.29,28755.66,28741.92,-7.31,0.341,-1,-3"
2026-05-07T04:50:00.000-04:00,"2026-5-7 4:50,28735.25,28753.5,28733.25,28749,28739.58,28755.15,28742.2,0.3,0.014,0,0"
2026-05-07T04:55:00.000-04:00,"2026-5-7 4:55,28750.25,28750.5,28728.75,28736.75,28735.58,28753.74,28741.99,-4.01,0.187,-1,-3"
2026-05-07T05:00:00.000-04:00,"2026-5-7 5:00,28736.25,28743,28721.75,28725.25,28728.68,28751.54,28741.33,-6.89,0.323,-1,-3"
2026-05-07T05:05:00.000-04:00,"2026-5-7 5:05,28727.25,28734,28711,28730,28725.73,28749.89,28740.89,-2.96,0.138,0,0"
2026-05-07T05:10:00.000-04:00,"2026-5-7 5:10,28730,28739,28725.5,28732.75,28724.95,28748.57,28740.57,-0.78,0.037,0,0"
2026-05-07T05:15:00.000-04:00,"2026-5-7 5:15,28733.5,28752,28731,28750.25,28731.22,28748.7,28740.95,6.27,0.3,1,3"
2026-05-07T05:20:00.000-04:00,"2026-5-7 5:20,28750.25,28762.5,28748,28748,28735.29,28748.64,28741.22,4.08,0.199,1,3"
2026-05-07T05:25:00.000-04:00,"2026-5-7 5:25,28749.25,28750,28738.25,28747.5,28738.32,28748.56,28741.47,3.03,0.153,1,3"
2026-05-07T05:30:00.000-04:00,"2026-5-7 5:30,28748.5,28754.25,28741.5,28751.5,28742.19,28748.78,28741.86,3.87,0.2,1,3"
2026-05-07T05:35:00.000-04:00,"2026-5-7 5:35,28751.5,28754.5,28742.75,28743.5,28742.17,28748.38,28741.93,-0.02,0.001,0,0"
2026-05-07T05:40:00.000-04:00,"2026-5-7 5:40,28742.75,28752,28738.75,28743,28742.05,28747.96,28741.97,-0.12,0.007,0,0"
2026-05-07T05:45:00.000-04:00,"2026-5-7 5:45,28742.5,28762.5,28741.75,28759.75,28748.23,28748.87,28742.67,6.18,0.333,1,3"
2026-05-07T05:50:00.000-04:00,"2026-5-7 5:50,28759.75,28760.75,28727,28730.25,28741.87,28747.44,28742.18,-6.36,0.323,-1,-3"
2026-05-07T05:55:00.000-04:00,"2026-5-7 5:55,28729.75,28730.5,28721.75,28730.25,28737.23,28746.12,28741.71,-4.64,0.246,-1,-3"
2026-05-07T06:00:00.000-04:00,"2026-5-7 6:00,28729.75,28736,28712.75,28715.5,28728.44,28743.76,28740.68,-8.79,0.458,-1,-3"
2026-05-07T06:05:00.000-04:00,"2026-5-7 6:05,28716.25,28720.75,28706,28710.25,28720.19,28741.18,28739.49,-8.25,0.437,-1,-3"
2026-05-07T06:10:00.000-04:00,"2026-5-7 6:10,28709.25,28722.5,28690.25,28715.5,28716.3,28739.21,28738.55,-3.89,0.196,-1,-3"
2026-05-07T06:15:00.000-04:00,"2026-5-7 6:15,28717.25,28720,28706.25,28707.75,28710.85,28736.79,28737.34,-5.45,0.281,-1,-3"
2026-05-07T06:20:00.000-04:00,"2026-5-7 6:20,28706.75,28731.25,28704.5,28726.75,28714.19,28736.02,28736.93,3.34,0.168,1,3"
2026-05-07T06:25:00.000-04:00,"2026-5-7 6:25,28727.5,28730.25,28711.75,28723,28715.54,28735.01,28736.38,1.35,0.068,0,0"
2026-05-07T06:30:00.000-04:00,"2026-5-7 6:30,28722.5,28732.25,28717,28724,28717.13,28734.17,28735.89,1.6,0.082,0,0"
2026-05-07T06:35:00.000-04:00,"2026-5-7 6:35,28723,28736,28720.5,28734.75,28722.48,28734.21,28735.85,5.35,0.279,1,3"
2026-05-07T06:40:00.000-04:00,"2026-5-7 6:40,28735.5,28742.75,28733,28741.25,28728.95,28734.75,28736.06,6.47,0.349,1,3"
