Date,Message
2026-05-08T09:40:00.000-04:00,"2026-5-8 9:40,28966.25,28998.25,28940.5,28997.5,28957,28914.65,28896.18,27.01,0.812,1,7"
2026-05-08T09:45:00.000-04:00,"2026-5-8 9:45,28997.25,29073.5,28997,29066,29001.81,28926.29,28902.84,44.81,1.233,1,7"
2026-05-08T09:50:00.000-04:00,"2026-5-8 9:50,29066.5,29085.5,29041.75,29060,29031.74,28936.58,28909,29.94,0.812,1,7"
2026-05-08T09:55:00.000-04:00,"2026-5-8 9:55,29060.25,29110.75,29045.5,29110.75,29071.41,28949.98,28916.91,39.67,1.02,1,7"
2026-05-08T10:00:00.000-04:00,"2026-5-8 10:00,29105.5,29133,29080,29116,29101.1,28962.75,28924.72,29.68,0.744,1,7"
2026-05-08T10:05:00.000-04:00,"2026-5-8 10:05,29116,29123.5,29090,29108.75,29118.55,28973.98,28931.94,17.46,0.442,1,7"
2026-05-08T10:10:00.000-04:00,"2026-5-8 10:10,29108.25,29113.5,29076,29100.5,29126.54,28983.71,28938.55,7.99,0.203,1,7"
2026-05-08T10:15:00.000-04:00,"2026-5-8 10:15,29100.25,29118.5,29086.75,29114.25,29135.74,28993.75,28945.44,9.2,0.237,1,7"
2026-05-08T10:20:00.000-04:00,"2026-5-8 10:20,29114.25,29150.75,29108.5,29149.25,29153.76,29005.71,28953.43,18.02,0.462,1,7"
2026-05-08T10:25:00.000-04:00,"2026-5-8 10:25,29149.25,29166.25,29103.5,29111.25,29151.22,29013.83,28959.62,-2.53,0.062,0,0"
2026-05-08T10:30:00.000-04:00,"2026-5-8 10:30,29111.25,29123.5,29078,29118.5,29150.42,29021.88,28965.85,-0.8,0.019,0,0"
2026-05-08T10:35:00.000-04:00,"2026-5-8 10:35,29118.25,29120,29073,29117.25,29147.92,29029.22,28971.79,-2.5,0.06,0,0"
2026-05-08T10:40:00.000-04:00,"2026-5-8 10:40,29117,29138.25,29094,29137.25,29152.19,29037.53,28978.28,4.27,0.103,0,0"
2026-05-08T10:45:00.000-04:00,"2026-5-8 10:45,29137,29156.75,29124.5,29147.5,29157.95,29045.99,28984.91,5.76,0.14,0,0"
2026-05-08T10:50:00.000-04:00,"2026-5-8 10:50,29147,29159.25,29132.75,29156.75,29164.49,29054.51,28991.65,6.54,0.164,1,7"
2026-05-08T10:55:00.000-04:00,"2026-5-8 10:55,29157.25,29173.5,29152.25,29161.75,29170.08,29062.76,28998.32,5.59,0.145,0,0"
2026-05-08T11:00:00.000-04:00,"2026-5-8 11:00,29162,29183.5,29158,29168,29175.47,29070.85,29004.97,5.39,0.143,0,0"
2026-05-08T11:05:00.000-04:00,"2026-5-8 11:05,29168.75,29190,29159.5,29161.75,29176.14,29077.85,29011.12,0.67,0.018,0,0"
2026-05-08T11:10:00.000-04:00,"2026-5-8 11:10,29161.25,29179.75,29147,29155.25,29173.32,29083.8,29016.77,-2.82,0.077,0,0"
2026-05-08T11:15:00.000-04:00,"2026-5-8 11:15,29155.25,29158,29125.25,29146,29167.02,29088.58,29021.84,-6.3,0.172,-1,-3"
2026-05-08T11:20:00.000-04:00,"2026-5-8 11:20,29146.25,29185,29141.5,29167,29169.51,29094.62,29027.54,2.49,0.067,0,0"
2026-05-08T11:25:00.000-04:00,"2026-5-8 11:25,29167,29186.5,29163.5,29183.75,29176.97,29101.47,29033.66,7.47,0.207,1,7"
2026-05-08T11:30:00.000-04:00,"2026-5-8 11:30,29183.75,29188.75,29153.5,29186.75,29183.02,29108.03,29039.66,6.05,0.168,1,7"
2026-05-08T11:35:00.000-04:00,"2026-5-8 11:35,29187,29216.75,29184.75,29204,29193.29,29115.41,29046.11,10.27,0.287,1,7"
2026-05-08T11:40:00.000-04:00,"2026-5-8 11:40,29204.25,29210.5,29169.25,29184.75,29193.12,29120.75,29051.55,-0.17,0.005,0,0"
2026-05-08T11:45:00.000-04:00,"2026-5-8 11:45,29184.5,29221,29176,29205,29199.92,29127.23,29057.56,6.8,0.185,1,7"
2026-05-08T11:50:00.000-04:00,"2026-5-8 11:50,29205.75,29209.5,29185.25,29204.25,29204.1,29133.15,29063.32,4.18,0.116,0,0"
2026-05-08T11:55:00.000-04:00,"2026-5-8 11:55,29204.75,29209.75,29185.25,29191.5,29201.9,29137.64,29068.34,-2.19,0.063,0,0"
2026-05-08T12:00:00.000-04:00,"2026-5-8 12:00,29191.25,29211.75,29190.5,29198.5,29202.4,29142.32,29073.45,0.49,0.015,0,0"
2026-05-08T12:05:00.000-04:00,"2026-5-8 12:05,29198.25,29210.75,29190.75,29199.5,29202.71,29146.72,29078.39,0.31,0.009,0,0"
2026-05-08T12:10:00.000-04:00,"2026-5-8 12:10,29200,29226,29194.25,29219,29209.79,29152.28,29083.9,7.08,0.215,1,7"
2026-05-08T12:15:00.000-04:00,"2026-5-8 12:15,29219,29223.5,29210,29210.5,29211.48,29156.76,29088.87,1.69,0.053,0,0"
2026-05-08T12:20:00.000-04:00,"2026-5-8 12:20,29210.25,29228.5,29210.25,29226,29218.08,29162.09,29094.25,6.61,0.216,1,7"
2026-05-08T12:25:00.000-04:00,"2026-5-8 12:25,29225,29244.75,29222.75,29241.5,29228.31,29168.19,29100.02,10.23,0.341,1,7"
2026-05-08T12:30:00.000-04:00,"2026-5-8 12:30,29241.75,29243.75,29231.5,29235,29233,29173.33,29105.31,4.69,0.163,1,7"
2026-05-08T12:35:00.000-04:00,"2026-5-8 12:35,29234.5,29237.75,29213.75,29235.25,29236.08,29178.1,29110.41,3.09,0.109,0,0"
2026-05-08T12:40:00.000-04:00,"2026-5-8 12:40,29235.5,29237.25,29195.25,29197.5,29223.93,29179.59,29113.83,-12.15,0.414,-1,-3"
2026-05-08T12:45:00.000-04:00,"2026-5-8 12:45,29198,29239.75,29197,29238.5,29229.84,29184.12,29118.71,5.91,0.195,1,7"
2026-05-08T12:50:00.000-04:00,"2026-5-8 12:50,29239,29248,29222.75,29237.25,29233.46,29188.21,29123.36,3.62,0.121,0,0"
2026-05-08T12:55:00.000-04:00,"2026-5-8 12:55,29237.5,29247.5,29234.75,29241,29237.22,29192.27,29127.98,3.76,0.131,0,0"
2026-05-08T13:00:00.000-04:00,"2026-5-8 13:00,29241,29289.5,29235,29286.75,29256.64,29199.54,29134.2,19.42,0.635,1,7"
2026-05-08T13:05:00.000-04:00,"2026-5-8 13:05,29287,29296,29264.75,29293.5,29273.02,29206.76,29140.45,16.38,0.535,1,7"
2026-05-08T13:10:00.000-04:00,"2026-5-8 13:10,29293.25,29296,29279.5,29283.75,29280.9,29212.69,29146.07,7.88,0.266,1,7"
2026-05-08T13:15:00.000-04:00,"2026-5-8 13:15,29284.25,29298.25,29282,29291.25,29288.86,29218.73,29151.76,7.95,0.278,1,7"
2026-05-08T13:20:00.000-04:00,"2026-5-8 13:20,29290.5,29310.75,29284,29305,29299.15,29225.37,29157.77,10.29,0.361,1,7"
2026-05-08T13:25:00.000-04:00,"2026-5-8 13:25,29305.5,29316,29296.5,29305.5,29306.22,29231.53,29163.57,7.07,0.254,1,7"
2026-05-08T13:30:00.000-04:00,"2026-5-8 13:30,29305.5,29311.5,29294.5,29306.25,29310.98,29237.28,29169.16,4.76,0.176,1,7"
2026-05-08T13:35:00.000-04:00,"2026-5-8 13:35,29306.25,29320.75,29292.25,29294.5,29309.43,29241.68,29174.08,-1.55,0.057,0,0"
2026-05-08T13:40:00.000-04:00,"2026-5-8 13:40,29294.5,29298.25,29276.5,29279.25,29302,29244.57,29178.2,-7.43,0.277,-1,-3"
2026-05-08T13:45:00.000-04:00,"2026-5-8 13:45,29279.5,29298.5,29269,29271,29292.96,29246.6,29181.84,-9.04,0.335,-1,-3"
2026-05-08T13:50:00.000-04:00,"2026-5-8 13:50,29271.5,29278.5,29255.25,29278,29288.53,29249.02,29185.61,-4.43,0.166,-1,-3"
2026-05-08T13:55:00.000-04:00,"2026-5-8 13:55,29278,29288,29263,29263.75,29279.73,29250.15,29188.67,-8.79,0.33,-1,-3"
2026-05-08T14:00:00.000-04:00,"2026-5-8 14:00,29264,29305,29259.5,29282.5,29280.06,29252.64,29192.35,0.33,0.012,0,0"
2026-05-08T14:05:00.000-04:00,"2026-5-8 14:05,29282.25,29294.75,29269,29273.25,29276.8,29254.22,29195.53,-3.26,0.117,0,0"
2026-05-08T14:10:00.000-04:00,"2026-5-8 14:10,29273.5,29290.5,29264.25,29288.75,29280.09,29256.88,29199.18,3.29,0.119,0,0"
2026-05-08T14:15:00.000-04:00,"2026-5-8 14:15,29288.25,29295,29270.25,29270.75,29275.82,29257.95,29201.99,-4.28,0.156,-1,-3"
2026-05-08T14:20:00.000-04:00,"2026-5-8 14:20,29271.5,29289,29270,29289,29279.42,29260.34,29205.4,3.6,0.134,0,0"
2026-05-08T14:25:00.000-04:00,"2026-5-8 14:25,29288.75,29291.5,29281.5,29287,29281.32,29262.39,29208.6,1.9,0.074,0,0"
2026-05-08T14:30:00.000-04:00,"2026-5-8 14:30,29286.25,29293,29282.75,29285,29281.95,29264.13,29211.6,0.64,0.026,0,0"
2026-05-08T14:35:00.000-04:00,"2026-5-8 14:35,29285,29289.75,29275.25,29278.25,29279.89,29265.21,29214.21,-2.06,0.086,0,0"
2026-05-08T14:40:00.000-04:00,"2026-5-8 14:40,29277.75,29288.75,29267.75,29274.5,29276.98,29265.93,29216.58,-2.91,0.123,0,0"
2026-05-08T14:45:00.000-04:00,"2026-5-8 14:45,29274.75,29274.75,29260.5,29268.5,29272.65,29266.13,29218.61,-4.33,0.189,-1,-3"
2026-05-08T14:50:00.000-04:00,"2026-5-8 14:50,29268.5,29281,29257,29264.75,29268.15,29266.02,29220.42,-4.5,0.195,-1,-3"
2026-05-08T14:55:00.000-04:00,"2026-5-8 14:55,29264.75,29265.75,29237,29240.5,29255.99,29264.06,29221.21,-12.16,0.519,-1,-5"
2026-05-08T15:00:00.000-04:00,"2026-5-8 15:00,29240.25,29269,29238.25,29265,29256.33,29264.13,29222.93,0.35,0.014,0,0"
2026-05-08T15:05:00.000-04:00,"2026-5-8 15:05,29265.75,29301.5,29260.75,29294.75,29267.86,29266.48,29225.74,11.53,0.458,1,7"
2026-05-08T15:10:00.000-04:00,"2026-5-8 15:10,29294,29304,29289.75,29294,29276.23,29268.6,29228.42,8.37,0.343,1,7"
2026-05-08T15:15:00.000-04:00,"2026-5-8 15:15,29294.25,29305.5,29291,29302.25,29285.49,29271.19,29231.31,9.26,0.391,1,7"
2026-05-08T15:20:00.000-04:00,"2026-5-8 15:20,29302.25,29310,29280.5,29285.75,29286.13,29272.31,29233.45,0.64,0.027,0,0"
2026-05-08T15:25:00.000-04:00,"2026-5-8 15:25,29285.5,29291.75,29261.25,29262.5,29277.9,29271.55,29234.59,-8.23,0.335,-1,-3"
2026-05-08T15:30:00.000-04:00,"2026-5-8 15:30,29262.25,29284,29256.25,29277,29277.19,29271.97,29236.25,-0.72,0.029,0,0"
2026-05-08T15:35:00.000-04:00,"2026-5-8 15:35,29277,29292.5,29270.25,29290.5,29281.67,29273.4,29238.38,4.49,0.182,1,7"
2026-05-08T15:40:00.000-04:00,"2026-5-8 15:40,29290.5,29303.5,29289,29300.75,29288.76,29275.5,29240.82,7.09,0.297,1,7"
2026-05-08T15:45:00.000-04:00,"2026-5-8 15:45,29300,29313.75,29294.75,29305.25,29295.56,29277.79,29243.35,6.8,0.289,1,7"
2026-05-08T15:50:00.000-04:00,"2026-5-8 15:50,29305.5,29331.5,29298.25,29328,29308.84,29281.65,29246.67,13.28,0.548,1,7"
2026-05-08T15:55:00.000-04:00,"2026-5-8 15:55,29327.5,29340.75,29314.25,29339.5,29322.62,29286.1,29250.31,13.78,0.565,1,7"
2026-05-08T16:00:00.000-04:00,"2026-5-8 16:00,29339.75,29383.25,29333.5,29356.25,29338.58,29291.5,29254.47,15.96,0.609,1,7"
2026-05-08T16:05:00.000-04:00,"2026-5-8 16:05,29356.25,29361.5,29350,29351.75,29348.14,29296.13,29258.28,9.56,0.38,1,7"
2026-05-08T16:10:00.000-04:00,"2026-5-8 16:10,29351.25,29352.25,29341,29344.25,29351.78,29299.83,29261.65,3.65,0.151,1,7"
2026-05-08T16:15:00.000-04:00,"2026-5-8 16:15,29343.75,29352.75,29333,29335,29350.42,29302.54,29264.53,-1.36,0.057,0,0"
2026-05-08T16:20:00.000-04:00,"2026-5-8 16:20,29335.25,29348,29331.25,29343.5,29352,29305.69,29267.63,1.57,0.067,0,0"
2026-05-08T16:25:00.000-04:00,"2026-5-8 16:25,29343.25,29345.75,29336.25,29344,29352.82,29308.64,29270.62,0.82,0.037,0,0"
2026-05-08T16:30:00.000-04:00,"2026-5-8 16:30,29343.75,29347,29335.75,29341.75,29352.1,29311.18,29273.41,-0.72,0.033,0,0"
2026-05-08T16:35:00.000-04:00,"2026-5-8 16:35,29342,29346.5,29339.5,29341.5,29351.04,29313.52,29276.08,-1.06,0.052,0,0"
2026-05-08T16:40:00.000-04:00,"2026-5-8 16:40,29341.5,29344.75,29339,29340.75,29349.6,29315.61,29278.62,-1.44,0.074,0,0"
2026-05-08T16:45:00.000-04:00,"2026-5-8 16:45,29340.25,29349.75,29338.75,29343.5,29349.22,29317.76,29281.16,-0.38,0.02,0,0"
2026-05-08T16:50:00.000-04:00,"2026-5-8 16:50,29343.25,29344.5,29337.25,29338.25,29346.71,29319.33,29283.4,-2.51,0.139,0,0"
2026-05-08T16:55:00.000-04:00,"2026-5-8 16:55,29338,29338,29330.75,29335.5,29343.61,29320.58,29285.44,-3.1,0.18,-1,-3"
2026-05-10T18:00:00.000-04:00,"2026-5-10 18:00,29294.5,29320.25,29248.75,29260.75,29313.47,29315.97,29284.47,0,0,0,0"
2026-05-10T18:05:00.000-04:00,"2026-5-10 18:05,29261.25,29283.75,29254,29282.5,29299.4,29313.4,29284.4,-14.06,0.617,-1,-5"
2026-05-10T18:10:00.000-04:00,"2026-5-10 18:10,29281.75,29287.75,29267,29273,29285.83,29310.29,29283.95,-13.57,0.6,-1,-5"
2026-05-10T18:15:00.000-04:00,"2026-5-10 18:15,29273.5,29276.25,29222.25,29250,29267.76,29305.65,29282.62,-18.07,0.727,-1,-5"
2026-05-10T18:20:00.000-04:00,"2026-5-10 18:20,29250,29260.75,29238.25,29256.75,29257.54,29301.89,29281.6,-10.22,0.414,-1,-5"
2026-05-10T18:25:00.000-04:00,"2026-5-10 18:25,29256.75,29274.5,29256.25,29274.5,29257.28,29299.79,29281.33,-0.26,0.011,0,0"
2026-05-10T18:30:00.000-04:00,"2026-5-10 18:30,29272.75,29280,29264.5,29269.25,29255.82,29297.44,29280.85,-1.46,0.062,0,0"
2026-05-10T18:35:00.000-04:00,"2026-5-10 18:35,29270,29270,29253,29262.5,29252.88,29294.75,29280.13,-2.94,0.127,0,0"
2026-05-10T18:40:00.000-04:00,"2026-5-10 18:40,29263.25,29271,29255.75,29269.5,29253.91,29292.81,29279.72,1.04,0.046,0,0"
2026-05-10T18:45:00.000-04:00,"2026-5-10 18:45,29269.75,29284.75,29266.75,29282.75,29260.14,29292.03,29279.83,6.23,0.28,1,3"
2026-05-10T18:50:00.000-04:00,"2026-5-10 18:50,29282.75,29288,29274.25,29279.75,29264.08,29291.09,29279.83,3.94,0.182,1,3"
2026-05-10T18:55:00.000-04:00,"2026-5-10 18:55,29279.5,29299,29278.75,29294,29272.63,29291.31,29280.39,8.54,0.397,1,3"
2026-05-10T19:00:00.000-04:00,"2026-5-10 19:00,29293.75,29310.75,29290.5,29305,29283.25,29292.37,29281.35,10.62,0.495,1,3"
2026-05-10T19:05:00.000-04:00,"2026-5-10 19:05,29305,29335.75,29305,29334,29301.92,29295.57,29283.42,18.68,0.844,1,7"
2026-05-10T19:10:00.000-04:00,"2026-5-10 19:10,29334,29342,29318.25,29322,29311.15,29297.6,29284.93,9.23,0.415,1,7"
2026-05-10T19:15:00.000-04:00,"2026-5-10 19:15,29322,29341.25,29320,29338,29323.66,29300.71,29287.01,12.51,0.564,1,7"
2026-05-10T19:20:00.000-04:00,"2026-5-10 19:20,29338.5,29347.25,29329.75,29333.5,29330.88,29303.23,29288.83,7.22,0.331,1,7"
2026-05-10T19:25:00.000-04:00,"2026-5-10 19:25,29333.5,29337.25,29300,29303.5,29324.69,29303.25,29289.41,-6.2,0.27,-1,-3"
2026-05-10T19:30:00.000-04:00,"2026-5-10 19:30,29304,29313,29291,29301.25,29318.93,29303.1,29289.87,-5.75,0.252,-1,-3"
2026-05-10T19:35:00.000-04:00,"2026-5-10 19:35,29301,29307,29293.5,29298.25,29313.33,29302.72,29290.2,-5.61,0.253,-1,-3"
2026-05-10T19:40:00.000-04:00,"2026-5-10 19:40,29298.25,29315.25,29295,29309.75,29313.28,29303.27,29290.97,-0.04,0.002,0,0"
2026-05-10T19:45:00.000-04:00,"2026-5-10 19:45,29309.5,29317.5,29295,29311,29313.58,29303.86,29291.75,0.29,0.013,0,0"
2026-05-10T19:50:00.000-04:00,"2026-5-10 19:50,29311,29312.75,29302.25,29303.25,29310.79,29303.81,29292.2,-2.78,0.131,0,0"
2026-05-10T19:55:00.000-04:00,"2026-5-10 19:55,29303,29310.25,29297.25,29304.25,29309.01,29303.85,29292.68,-1.78,0.086,0,0"
2026-05-10T20:00:00.000-04:00,"2026-5-10 20:00,29304.25,29334.75,29303.75,29332.25,29318.01,29306.03,29294.23,8.99,0.42,1,7"
2026-05-10T20:05:00.000-04:00,"2026-5-10 20:05,29332.75,29369.75,29332.75,29367,29337.38,29310.72,29297.08,19.37,0.859,1,7"
2026-05-10T20:10:00.000-04:00,"2026-5-10 20:10,29367.25,29373,29361.75,29368.75,29352,29315.19,29299.89,14.62,0.672,1,7"
2026-05-10T20:15:00.000-04:00,"2026-5-10 20:15,29369.25,29369.25,29347.25,29361.75,29359.73,29318.77,29302.32,7.73,0.355,1,7"
2026-05-10T20:20:00.000-04:00,"2026-5-10 20:20,29361.75,29381.5,29360.25,29381.25,29372.12,29323.57,29305.41,12.39,0.57,1,7"
