Date,Message
2026-05-28T03:10:00.000-04:00,"CHG,2026-5-28 3:10,rating_change,29947,29939.55,7,5,0.341"
2026-05-28T03:10:00.000-04:00,"2026-5-28 3:10,29953.75,29955.75,29933.5,29947,29939.55,29901.14,29901.07,7.75,0.341,1,7"
2026-05-28T03:15:00.000-04:00,"2026-5-28 3:15,29947.75,29957,29938.25,29955.25,29947.93,29905.3,29903.19,8.38,0.373,1,7"
2026-05-28T03:20:00.000-04:00,"2026-5-28 3:20,29953.25,29960,29939.75,29951.25,29952.19,29908.83,29905.08,4.25,0.191,1,7"
2026-05-28T03:25:00.000-04:00,"CHG,2026-5-28 3:25,rating_change,29946.75,29953.2,0,7,0.046"
2026-05-28T03:25:00.000-04:00,"2026-5-28 3:25,29950.5,29957.25,29940.25,29946.75,29953.2,29911.75,29906.71,1.01,0.046,0,0"
2026-05-28T03:30:00.000-04:00,"2026-5-28 3:30,29949.75,29957.5,29944.25,29947.5,29953.79,29914.5,29908.31,0.59,0.028,0,0"
2026-05-28T03:35:00.000-04:00,"2026-5-28 3:35,29948.75,29958.75,29942.5,29944.75,29952.8,29916.83,29909.74,-0.98,0.047,0,0"
2026-05-28T03:40:00.000-04:00,"2026-5-28 3:40,29943.5,29959,29936.75,29951,29954.04,29919.46,29911.36,1.24,0.059,0,0"
2026-05-28T03:45:00.000-04:00,"CHG,2026-5-28 3:45,rating_change,29932.75,29947.88,-3,0,0.285"
2026-05-28T03:45:00.000-04:00,"2026-5-28 3:45,29950.25,29952.5,29923.5,29932.75,29947.88,29920.48,29912.2,-6.17,0.285,-1,-3"
2026-05-28T03:50:00.000-04:00,"CHG,2026-5-28 3:50,rating_change,29958.75,29952.72,7,-3,0.213"
2026-05-28T03:50:00.000-04:00,"2026-5-28 3:50,29933.25,29963.5,29925.75,29958.75,29952.72,29923.42,29914.02,4.84,0.213,1,7"
2026-05-28T03:55:00.000-04:00,"CHG,2026-5-28 3:55,rating_change,29955.75,29954.94,0,7,0.101"
2026-05-28T03:55:00.000-04:00,"2026-5-28 3:55,29958.75,29961.25,29947,29955.75,29954.94,29925.91,29915.66,2.23,0.101,0,0"
2026-05-28T04:00:00.000-04:00,"CHG,2026-5-28 4:00,rating_change,29971.5,29962.18,7,0,0.321"
2026-05-28T04:00:00.000-04:00,"2026-5-28 4:00,29958.25,29975.25,29947.5,29971.5,29962.18,29929.42,29917.85,7.23,0.321,1,7"
2026-05-28T04:05:00.000-04:00,"CHG,2026-5-28 4:05,rating_change,29963.25,29964.18,0,7,0.086"
2026-05-28T04:05:00.000-04:00,"2026-5-28 4:05,29972.25,29990,29958.5,29963.25,29964.18,29932.02,29919.63,2,0.086,0,0"
2026-05-28T04:10:00.000-04:00,"2026-5-28 4:10,29963,29979.25,29957.75,29966,29966.39,29934.63,29921.45,2.21,0.096,0,0"
2026-05-28T04:15:00.000-04:00,"2026-5-28 4:15,29964.5,29974.25,29955.25,29971.5,29969.77,29937.47,29923.41,3.38,0.149,0,0"
2026-05-28T04:20:00.000-04:00,"CHG,2026-5-28 4:20,rating_change,29987.25,29977.81,7,0,0.348"
